"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant"
"ENSG00000152766",241.032492697112,4.10060578757184,0.302841403798066,2.67596071815748e-43,3.73002164503971e-39,TRUE
"ENSG00000198019",161.138620126755,2.33655261521629,0.17783359636542,7.91815350482009e-41,5.51855708518436e-37,TRUE
"ENSG00000137752",2087.67729731273,1.17392061931539,0.0915837178217765,6.70329153451158e-39,3.11457268998523e-35,TRUE
"ENSG00000168062",663.678309763195,2.93520295867169,0.238931531439425,4.06626575858972e-36,1.41699196022455e-32,TRUE
"ENSG00000150337",557.936273977932,2.69841884068826,0.223262972589621,5.09917235798222e-35,1.42154726995828e-31,TRUE
"ENSG00000108387",159.376263721765,3.69555331064604,0.316694392971594,5.69325519860569e-33,1.32263807022274e-29,TRUE
"ENSG00000117228",3008.02646919151,2.05408797262192,0.176355711301136,1.62964726210503e-32,3.24509331235457e-29,TRUE
"ENSG00000108861",678.731631349772,1.07620867879258,0.0926703360374792,2.43077784054534e-32,4.23532653992019e-29,TRUE
"ENSG00000152229",881.479741303654,1.47837390413927,0.127684849836038,3.01586853029507e-32,4.67091016042033e-29,TRUE
"ENSG00000143771",283.418853932631,0.837105052740661,0.0723427747312943,5.08642943327013e-32,7.08997398703523e-29,FALSE
"ENSG00000154451",7448.47496290975,2.13275469916953,0.186250488329008,2.08725729519187e-31,2.6449344943345e-28,TRUE
"ENSG00000010030",214.357845717434,2.98153904926975,0.262659012955416,2.699642242547e-31,3.13585943490522e-28,TRUE
"ENSG00000120217",491.640948975755,2.66241757242496,0.235898254066685,6.8181791846166e-31,7.31066151187468e-28,TRUE
"ENSG00000145685",253.239730710043,1.59287852080597,0.144325568369548,1.68125169039528e-29,1.67392623660142e-26,TRUE
"ENSG00000183347",55.2475538062511,2.98290321874912,0.273579507904238,4.4746406765947e-29,4.15813442607023e-26,TRUE
"ENSG00000116663",382.529496715959,1.52294468800148,0.139844332797167,6.47992831486622e-29,5.64523254880752e-26,TRUE
"ENSG00000162645",6052.46415187906,1.17637952317969,0.108589384646207,1.78701883934842e-28,1.46525032951045e-25,TRUE
"ENSG00000082014",456.463947590683,1.29359143912008,0.120342394292476,3.10157498869824e-28,2.4018252093036e-25,TRUE
"ENSG00000128335",2140.89452436471,1.25536699128019,0.117695583047058,1.43682521754461e-27,1.05410035301865e-24,TRUE
"ENSG00000163568",236.145863237791,2.00051165243156,0.189488580722013,2.06373368050674e-27,1.43831918862917e-24,TRUE
"ENSG00000070501",244.668743797249,1.11890358724579,0.106274158242324,4.00728684641092e-27,2.65988435010104e-24,TRUE
"ENSG00000225492",40.1441941821096,3.94134521853129,0.378446755251526,7.64836438404461e-27,4.84593414314535e-24,TRUE
"ENSG00000188820",139.295632204802,2.54296935669361,0.247199453231054,3.22015678415935e-26,1.95155501801727e-23,TRUE
"ENSG00000108950",80.1011797189312,2.02055539144335,0.196468194323859,3.96930363463663e-26,2.30533847346667e-23,TRUE
"ENSG00000168899",298.308094167287,2.14976124857403,0.210358642014908,6.7282872577284e-26,3.75142384341905e-23,TRUE
"ENSG00000253193",50.0702234978414,3.06142737097073,0.302252032215089,1.31585386451815e-25,7.05449500673788e-23,TRUE
"ENSG00000144848",608.095741986986,0.935080261227988,0.0919461158504112,2.16118610975712e-25,1.11573234014461e-22,FALSE
"ENSG00000123609",750.305386874354,1.05653295467159,0.104168004931251,3.11322144179317e-25,1.49638598886741e-22,TRUE
"ENSG00000136514",151.850476143736,2.00364992684318,0.198780941482208,3.11193770334202e-25,1.49638598886741e-22,TRUE
"ENSG00000260943",92.8597365885797,2.13640331891528,0.212546865979208,3.46091872703148e-25,1.60805820453639e-22,TRUE
"ENSG00000100342",1260.40405062157,1.59188959655861,0.158401203557126,5.19961995792528e-25,2.33798395462969e-22,TRUE
"ENSG00000177989",894.987916656487,1.60105962014612,0.158834718209217,5.79706707902165e-25,2.52516618795259e-22,TRUE
"ENSG00000233030",34.4598334822881,2.17723158425718,0.217914963280158,7.14465279038448e-25,3.0178580377324e-22,TRUE
"ENSG00000115415",5340.41675353259,1.16763443702334,0.116179961067429,1.10190260235614e-24,4.51747658065949e-22,TRUE
"ENSG00000173221",687.204861992342,0.823381194964215,0.0827025224883195,2.16468733984739e-24,8.6210219514665e-22,FALSE
"ENSG00000197646",60.803755868198,2.9581729684732,0.302024830995957,4.37030660858137e-24,1.69215843936155e-21,TRUE
"ENSG00000134809",171.868620147688,2.25703501291549,0.232059155540905,9.15759166511246e-24,3.44993703297304e-21,TRUE
"ENSG00000087237",51.6846484859,1.32083371498229,0.135418337836276,9.76081591259453e-24,3.49967521256795e-21,TRUE
"ENSG00000115919",131.630001292488,1.2737434784712,0.130566908553975,9.79175932923092e-24,3.49967521256795e-21,TRUE
"ENSG00000074660",1105.72076417625,1.63844496626751,0.168297083175636,1.23741524154515e-23,4.31208276297445e-21,TRUE
"ENSG00000100336",49.5169295712021,3.21790369775528,0.332664931697694,1.34040405794032e-23,4.55704686917809e-21,TRUE
"ENSG00000156587",2951.07823792045,1.46370653955974,0.150388515829822,1.76837342386465e-23,5.86889456077366e-21,TRUE
"ENSG00000234571",20.3791628445975,3.01015440317628,0.31385722016834,3.3286942709871e-23,1.07903882426254e-20,TRUE
"ENSG00000214872",252.472072860151,2.67157799162602,0.279057674167175,4.26610864537262e-23,1.35148382745111e-20,TRUE
"ENSG00000099860",750.655385157852,1.0392702272569,0.107861707963189,4.52144947887572e-23,1.40054409524552e-20,TRUE
"ENSG00000196954",2767.99348995811,0.939844782586231,0.0982764889579005,1.48615928297846e-22,4.50338570552973e-20,FALSE
"ENSG00000159189",67.1891512679656,3.09022129820979,0.329530217188859,2.08363472748937e-22,6.05078843051549e-20,TRUE
"ENSG00000173369",194.449748297416,2.84437927548448,0.302844128916995,2.06093734793107e-22,6.05078843051549e-20,TRUE
"ENSG00000149131",2794.05179866785,2.75848753969409,0.295129389633665,3.95395409754588e-22,1.11784543595694e-19,TRUE
"ENSG00000255221",19.8023627509991,2.97721200584888,0.319240474281018,4.00977629656697e-22,1.11784543595694e-19,TRUE
"ENSG00000145365",212.280846241397,1.39287535197031,0.148910694391901,4.75234908136382e-22,1.29888223225746e-19,TRUE
"ENSG00000148834",303.28822966362,1.07858780231647,0.115538940412247,6.29699313695776e-22,1.68795744877027e-19,TRUE
"ENSG00000172159",84.8733542878277,1.63382638602719,0.176224963078882,8.31863226005973e-22,2.18780028439571e-19,TRUE
"ENSG00000197272",31.0029946417941,1.82398711111823,0.198220959151595,1.2789877713472e-21,3.30144639718679e-19,TRUE
"ENSG00000269640",201.827446400194,0.950937635340104,0.102735839737395,1.51845965807909e-21,3.84832894072081e-19,FALSE
"ENSG00000102897",227.418282133421,0.882919052006715,0.0953061551838018,1.60460330777762e-21,3.92395886089688e-19,FALSE
"ENSG00000173372",168.867846930811,2.51394295549444,0.273739803645925,1.57898163901665e-21,3.92395886089688e-19,TRUE
"ENSG00000240065",1785.48508901199,1.23632968550582,0.132980216829648,1.93362271329959e-21,4.6470287932212e-19,TRUE
"ENSG00000068079",812.806287841775,1.67955786207654,0.183435944640937,2.70035956180738e-21,6.37971388678528e-19,TRUE
"ENSG00000272914",24.0617302821305,1.49233732750754,0.162929356916546,3.15132961609847e-21,7.32106391979942e-19,TRUE
