"Gene","log2FC","FDR","Module","MM","GS_TB"
"ENSG00000115919",1.2737434784712,3.49967521256795e-21,"blue",-0.690868420956942,0.730110685114759
"ENSG00000099860",1.0392702272569,1.40054409524552e-20,"blue",-0.891175043282165,0.7289621332692
"ENSG00000148834",1.07858780231647,1.68795744877027e-19,"blue",-0.883923666722227,0.705083364652765
"ENSG00000240065",1.23632968550582,4.6470287932212e-19,"blue",-0.918830425479079,0.702684616494853
"ENSG00000119655",1.17891509335753,2.44981540964871e-18,"blue",-0.939388021043589,0.690914753024037
"ENSG00000141574",1.35341358878059,3.68241942394273e-18,"blue",-0.89011176138244,0.69914895414773
"ENSG00000106605",1.23044350189485,4.11022785993312e-18,"blue",-0.843075517805183,0.677156498208597
"ENSG00000025708",1.33135203749904,2.32965757165349e-17,"blue",-0.91566007830162,0.682331305451772
"ENSG00000169228",1.06789539561334,2.47125789871152e-17,"blue",-0.909545824918177,0.684277793839547
"ENSG00000075399",1.11681908897516,7.26563704474017e-17,"blue",-0.827615984043213,0.69602485806818
"ENSG00000163220",1.46754662997418,2.81536032059661e-15,"blue",-0.882174082323709,0.672734401596355
"ENSG00000224067",1.68781255561054,4.15463658548719e-14,"blue",-0.739946086917069,0.63337579296544
"ENSG00000205220",1.04023912063253,1.72402266936094e-13,"blue",-0.866526534609428,0.622369843304096
"ENSG00000148450",1.17931772083257,5.39982346645116e-13,"blue",-0.906216224612344,0.606369050449503
"ENSG00000271605",1.11001986639442,5.59391525346261e-13,"blue",-0.712360650018217,0.580668890301659
"ENSG00000257433",1.18137025450897,8.12129678868053e-13,"blue",-0.717735281910484,0.604427707281226
"ENSG00000143546",1.80705354831481,9.47718314652184e-13,"blue",-0.757564088316654,0.588098641760283
"ENSG00000142089",1.96765121828456,4.3877809587372e-12,"blue",-0.797003446212277,0.684733624476957
"ENSG00000184613",-1.20398908309242,1.67201398913887e-11,"blue",0.790215676087473,-0.66475666107858
"ENSG00000204472",1.08898172399661,3.10916498775041e-11,"blue",-0.897553390507955,0.555059855119853
"ENSG00000185885",1.22684336081845,6.51090976599441e-11,"blue",-0.802651545674786,0.626140624935432
"ENSG00000143545",1.14793515512166,1.44088555763498e-10,"blue",-0.609768640940426,0.50920912051025
"ENSG00000141505",1.11201506663664,1.44345927676286e-10,"blue",-0.794542183357379,0.561689682349053
"ENSG00000139832",1.14050240294887,2.39673033303593e-10,"blue",-0.813187433914558,0.575426634115983
"ENSG00000121552",1.17182743667489,3.63292984147633e-10,"blue",-0.775000550097638,0.558334078800734
"ENSG00000185909",1.02393347959957,4.21824193950229e-10,"blue",-0.802031799700583,0.567412856138299
