"Gene","ModuleColor"
"ENSG00000000419","grey"
"ENSG00000000457","grey"
"ENSG00000000460","grey"
"ENSG00000000938","yellow"
"ENSG00000000971","grey"
"ENSG00000001036","lightcyan"
"ENSG00000001084","grey"
"ENSG00000001167","turquoise"
"ENSG00000001460","grey"
"ENSG00000001461","blue"
"ENSG00000001497","red"
"ENSG00000001561","turquoise"
"ENSG00000001629","turquoise"
"ENSG00000001631","turquoise"
"ENSG00000002016","grey"
"ENSG00000002330","tan"
"ENSG00000002549","green"
"ENSG00000002586","brown"
"ENSG00000002726","grey"
"ENSG00000002822","turquoise"
"ENSG00000002834","magenta"
"ENSG00000002919","yellow"
"ENSG00000002933","grey"
"ENSG00000003056","grey"
"ENSG00000003147","grey"
"ENSG00000003249","grey"
"ENSG00000003393","grey"
"ENSG00000003400","green"
"ENSG00000003402","red"
"ENSG00000003509","grey"
"ENSG00000003756","turquoise"
"ENSG00000003987","grey"
"ENSG00000004059","yellow"
"ENSG00000004139","blue"
"ENSG00000004142","turquoise"
"ENSG00000004399","grey"
"ENSG00000004455","grey"
"ENSG00000004468","green"
"ENSG00000004478","brown"
"ENSG00000004487","black"
"ENSG00000004534","grey"
"ENSG00000004660","yellow"
"ENSG00000004700","turquoise"
"ENSG00000004766","turquoise"
"ENSG00000004777","pink"
"ENSG00000004779","tan"
"ENSG00000004799","grey"
"ENSG00000004809","grey"
"ENSG00000004838","grey"
"ENSG00000004864","grey"
"ENSG00000004866","grey"
"ENSG00000004897","turquoise"
"ENSG00000004939","greenyellow"
"ENSG00000004961","grey"
"ENSG00000004975","grey"
"ENSG00000005007","magenta"
"ENSG00000005020","turquoise"
"ENSG00000005022","brown"
"ENSG00000005059","grey"
"ENSG00000005075","brown"
"ENSG00000005100","turquoise"
"ENSG00000005102","grey"
"ENSG00000005156","grey"
"ENSG00000005175","grey"
"ENSG00000005187","grey"
"ENSG00000005189","grey"
"ENSG00000005194","grey"
"ENSG00000005206","grey"
"ENSG00000005238","yellow"
"ENSG00000005243","grey"
"ENSG00000005249","cyan"
"ENSG00000005302","red"
"ENSG00000005339","tan"
"ENSG00000005379","grey"
"ENSG00000005381","grey"
"ENSG00000005436","yellow"
"ENSG00000005448","grey"
"ENSG00000005469","blue"
"ENSG00000005471","grey"
"ENSG00000005483","tan"
"ENSG00000005486","yellow"
"ENSG00000005513","blue"
"ENSG00000005700","turquoise"
"ENSG00000005801","yellow"
"ENSG00000005810","tan"
"ENSG00000005812","turquoise"
"ENSG00000005844","black"
"ENSG00000005882","grey"
"ENSG00000005884","grey"
"ENSG00000005889","brown"
"ENSG00000005893","magenta"
"ENSG00000005955","grey"
"ENSG00000005961","cyan"
"ENSG00000006007","red"
"ENSG00000006015","brown"
"ENSG00000006025","black"
"ENSG00000006062","grey"
"ENSG00000006114","purple"
"ENSG00000006125","grey60"
"ENSG00000006194","grey"
