"Module","N_genes","Correlation","P_value","FDR","Selected"
"green",356,0.726615134913646,1.10133191897359e-14,1.98239745415246e-13,TRUE
"purple",213,-0.704995469995236,1.43787265209751e-13,1.29408538688776e-12,TRUE
"blue",1377,-0.63263630940318,1.81844216977282e-10,1.09106530186369e-09,TRUE
"lightcyan",44,0.594089610099633,4.01486669195154e-09,1.44535200910255e-08,FALSE
"red",329,0.533048787243702,2.52873225465903e-07,7.58619676397708e-07,FALSE
"tan",167,-0.526520395437764,3.7575437126728e-07,9.66225526115863e-07,FALSE
"black",272,-0.48204555426967,4.52931543900712e-06,1.0190959737766e-05,FALSE
"cyan",101,0.42251369314017,7.68113750110902e-05,0.00015362275002218,FALSE
"yellow",932,0.405277144443916,0.000158711884423728,0.00028568139196271,FALSE
"grey60",39,-0.386483043341061,0.000335211400381252,0.000548527746078412,FALSE
"brown",1191,0.329854715978351,0.00247575946709932,0.00371363920064898,FALSE
"midnightblue",64,0.291397392470566,0.00790468805290127,0.0109449526886325,FALSE
"greenyellow",183,0.18025127984112,0.105127107889206,0.135163424428979,FALSE
"turquoise",1735,-0.155053513964872,0.164242982066902,0.197091578480282,FALSE
"salmon",116,0.0737141599160089,0.510436084455504,0.574240595012443,FALSE
"pink",266,0.0432563536706691,0.699592768054622,0.740745283822541,FALSE
"magenta",234,-0.0202811724001288,0.856482989831329,0.856482989831329,FALSE
