"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","24/546","114/5433",0.210526315789474,2.09485251590515,3.94864493730105,0.000314904567678016,0.104863221036779,0.102758332610721,"4756/998/3983/4773/10627/3984/90249/5361/2043/103910/5335/55558/10505/5295/2041/5578/6259/1073/54910/5727/9860/4636/91584/1945",24
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","34/546","192/5433",0.177083333333333,1.76207646520147,3.59333011140877,0.000646010510296528,0.107560749964372,0.105401714837855,"7204/5601/5588/998/10627/199731/51678/8506/10094/90249/5361/1796/10000/6504/103910/4063/5335/10095/55558/4008/5295/8573/2308/288/10225/5578/4359/114836/57555/9788/940/3932/91584/10552",34
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","17/546","87/5433",0.195402298850575,1.94436023746369,2.96782216686909,0.00519188282986364,0.449565799874451,0.440541798517717,"695/7185/5588/7188/4616/959/4055/5335/10912/10913/472/23643/929/596/3932/84433/27040",17
"Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","16/546","81/5433",0.197530864197531,1.9655406322073,2.92624068451984,0.0059225408128061,0.449565799874451,0.440541798517717,"1606/51447/80271/3710/160851/8821/5335/5287/51196/3707/805/5295/8526/5578/3636/9677",16
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","23/546","135/5433",0.17037037037037,1.6952787952788,2.73416628772943,0.00758343504786206,0.449565799874451,0.440541798517717,"5933/3710/4616/4773/1021/10000/10912/22800/2113/4609/805/5295/472/2308/5928/824/8945/4088/3107/3133/3134/3105/3106",23
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome biogenesis","35/546","231/5433",0.151515151515152,1.50765900765901,2.63540851612228,0.00810028468242254,0.449565799874451,0.440541798517717,"1175/51606/84062/3074/5476/79641/8692/10947/26031/23335/11154/51382/1522/2717/23659/1777/8992/1509/10577/1211/10053/529/10542/4864/23557/23461/1520/2720/155066/3177/23545/389541/5660/23230/4758",35
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","18/546","104/5433",0.173076923076923,1.72221048182587,2.48549348607519,0.0146123719408427,0.472475856780087,0.462991988625974,"5601/5588/998/4773/959/3702/868/10000/5335/5295/4794/917/29851/10125/940/3932/84433/27040",18
"Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","7/546","27/5433",0.259259259259259,2.57977207977208,2.75038396829164,0.014807186424482,0.472475856780087,0.462991988625974,"5243/215/4363/89845/23461/21/225",7
"Human Diseases","Immune disease","hsa05330","Allograft rejection","7/546","27/5433",0.259259259259259,2.57977207977208,2.75038396829164,0.014807186424482,0.472475856780087,0.462991988625974,"959/940/3107/3133/3134/3105/3106",7
"Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","9/546","40/5433",0.225,2.23887362637363,2.62843248243681,0.0156073105843272,0.472475856780087,0.462991988625974,"3074/2717/55627/91012/130367/2720/8877/5660/4758",9
"Human Diseases","Infectious disease: bacterial","hsa05110","Vibrio cholerae infection","9/546","40/5433",0.225,2.23887362637363,2.62843248243681,0.0156073105843272,0.472475856780087,0.462991988625974,"51606/51382/8992/5335/529/5567/5578/155066/23545",9
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","7/546","28/5433",0.25,2.48763736263736,2.63774784145575,0.0180824083780616,0.501786832491209,0.491714613789394,"959/940/3107/3133/3134/3105/3106",7
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","13/546","71/5433",0.183098591549296,1.82193158953722,2.33000296750193,0.0228802176544027,0.586085575301238,0.574321252863549,"7185/7188/3655/4616/1021/10000/4149/10912/4609/5295/1285/596/2272",13
"Organismal Systems","Excretory system","hsa04966","Collecting duct acid secretion","5/546","18/5433",0.277777777777778,2.76404151404151,2.50553720448169,0.0285057782220248,0.589651985659678,0.577816075721511,"51382/8992/529/155066/23545",5
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","19/546","120/5433",0.158333333333333,1.57550366300366,2.13070752534527,0.0295303742570262,0.589651985659678,0.577816075721511,"2769/80271/3710/8911/4773/4923/5023/2185/5335/51196/5567/3707/805/814/5578/401152/80310/488/8877",19
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","13/546","74/5433",0.175675675675676,1.7480694980695,2.1655636895317,0.0312506538687664,0.589651985659678,0.577816075721511,"1535/998/7294/10627/3702/103910/2185/5335/5295/5578/653361/399/4636",13
