"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-1236977","Endosomal/Vacuolar pathway","6/763","10/7483",0.6,5.88440366972477,5.20775497069289,0.000161433130368756,0.204374343046845,0.204374343046845,"CTSS/HLA-C/HLA-E/HLA-F/HLA-A/HLA-B",6
"R-HSA-1236975","Antigen processing-Cross presentation","20/763","87/7483",0.229885057471264,2.254560792998,3.96587818581057,0.000367358878624985,0.232538170169615,0.232538170169615,"BTK/CYBA/PSME1/PSMC1/STX4/S100A8/LY96/NCF1/CTSS/S100A9/CD14/PSMD13/PSMB8/HLA-C/HLA-E/HLA-F/PSMB10/HLA-A/HLA-B/PSMB9",20
"R-HSA-1236974","ER-Phagosome pathway","17/763","75/7483",0.226666666666667,2.22299694189602,3.58667479078201,0.00117358794045823,0.495254110873371,0.495254110873371,"BTK/PSME1/PSMC1/STX4/S100A8/LY96/S100A9/CD14/PSMD13/PSMB8/HLA-C/HLA-E/HLA-F/PSMB10/HLA-A/HLA-B/PSMB9",17
"R-HSA-8964038","LDL clearance","6/763","15/7483",0.4,3.92293577981651,3.8181170024984,0.00245742542715442,0.777775147694375,0.777775147694375,"AP2S1/LSR/NPC2/CLTA/NPC1/LDLRAP1",6
"R-HSA-1222556","ROS and RNS production in phagocytes","8/763","27/7483",0.296296296296296,2.90587835541964,3.34280154867563,0.00428949133421376,0.867140658418105,0.867140658418105,"ATP6V1H/CYBA/ATP6V1D/ATP6V0E1/ATP6V1E1/NCF1/ATP6V0E2/ATP6V0A2",8
"R-HSA-5686938","Regulation of TLR by endogenous ligand","5/763","12/7483",0.416666666666667,4.08639143730887,3.6052778853449,0.00467462280400631,0.867140658418105,0.867140658418105,"GSDMD/S100A8/LY96/S100A9/CD14",5
"R-HSA-373752","Netrin-1 signaling","7/763","22/7483",0.318181818181818,3.12051709758132,3.35614783865155,0.0048250960871965,0.867140658418105,0.867140658418105,"TRIO/NEO1/CDC42/ABLIM1/UNC5A/PLCG1/RGMB",7
"R-HSA-9696273","RND1 GTPase cycle","8/763","28/7483",0.285714285714286,2.80209698558322,3.21899154796457,0.00547956182254727,0.867140658418105,0.867140658418105,"TXNL1/PLXNA1/TMEM59/RRAS2/PIK3R1/DLG5/PTPN13/WDR6",8
"R-HSA-77387","Insulin receptor recycling","7/763","23/7483",0.304347826086957,2.98484244116474,3.21223290375271,0.00633727209861569,0.881973664542103,0.881973664542103,"ATP6V1H/ATP6V1D/ATP6V0E1/CTSD/ATP6V1E1/ATP6V0E2/ATP6V0A2",7
"R-HSA-5602498","MyD88 deficiency (TLR2/4)","5/763","13/7483",0.384615384615385,3.77205363443896,3.37054002316348,0.00696661662355532,0.881973664542103,0.881973664542103,"BTK/S100A8/LY96/S100A9/CD14",5
