"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","defense response to virus","65/296","273/11123",0.238095238095238,8.94707207207207,21.9814753805613,2.20714002490277e-44,7.23059072158146e-41,6.39141285106054e-41,"RNF216/EIF2AK2/OAS1/CD40/SAMHD1/LILRB1/RIGI/DHX58/UNC93B1/OAS3/OAS2/TRIM38/IFIH1/STAT1/GBP3/GBP1/TRIM32/IFIT3/IFIT2/TRIM6/NT5C3A/ZNFX1/ZBP1/IFI6/IRF5/BST2/TRIM5/TRIM22/RSAD2/OASL/RTP4/DDX60/CASP1/IFI44L/PARP9/HERC5/PML/NLRC5/IFIT5/GBP5/MOV10/MX1/ADAR/GBP2/IFI16/AIM2/DTX3L/IFI27/STAT2/ISG20/DDX60L/MX2/UBE2F/USP18/IRF7/IFIT1/ISG15/PLSCR1/TLR7/IL27/MICB/ZDHHC11B/TREX1/IRF9/APOBEC3G",65
"GO:0009615","response to virus","68/296","350/11123",0.194285714285714,7.30081081081081,19.8036555702593,2.46764638666889e-40,4.04200478136364e-37,3.57289221564532e-37,"RNF216/EIF2AK2/OAS1/CD40/SAMHD1/LILRB1/RIGI/GATA3/DHX58/UNC93B1/OAS3/OAS2/TRIM38/IFIH1/STAT1/GBP3/GBP1/TRIM32/IFIT3/IFIT2/TRIM6/NT5C3A/NMI/ZNFX1/ZBP1/IFI6/IRF5/BST2/TRIM5/TRIM22/RSAD2/OASL/RTP4/DDX60/CASP1/IFI44L/IFI44/PARP9/HERC5/PML/NLRC5/IFIT5/GBP5/MOV10/MX1/ADAR/GBP2/IFI16/AIM2/DTX3L/IFI27/STAT2/ISG20/DDX60L/MX2/UBE2F/USP18/IRF7/IFIT1/ISG15/PLSCR1/TLR7/IL27/MICB/ZDHHC11B/TREX1/IRF9/APOBEC3G",68
"GO:0002831","regulation of response to biotic stimulus","59/296","498/11123",0.118473895582329,4.45197682622381,13.0317069755211,5.72284694976674e-23,6.24934886914528e-20,5.5240533188801e-20,"RNF216/EIF2AK2/IFI35/CEACAM1/OAS1/SAMHD1/RIPK2/LILRB1/RIGI/DHX58/MAP2K6/UNC93B1/OAS3/TRIM38/IFIH1/STAT1/TRIM32/CD274/TRIM6/NMI/ZNFX1/ZBP1/IRF5/TRIM5/TRIM22/RSAD2/OASL/TRAFD1/CD36/DDX60/CASP1/PARP9/HERC5/PML/NLRC5/TIFA/SERPING1/MR1/GBP5/SLAMF8/ADAR/GBP2/IFI16/AIM2/DTX3L/STAT2/PARP14/TIGIT/USP18/IRF7/ISG15/PLSCR1/CALHM6/TLR7/IL27/CARD16/MICB/TREX1/APOBEC3G",59
"GO:0048525","negative regulation of viral process","21/296","63/11123",0.333333333333333,12.5259009009009,15.1687860204905,4.20363845777241e-18,3.44277989691561e-15,3.04321299929787e-15,"EIF2AK2/SP100/OAS1/OAS3/OAS2/IFIH1/STAT1/TRIM32/TRIM6/ZNFX1/BST2/RSAD2/OASL/IFIT5/MX1/IFI16/ISG20/IFIT1/ISG15/PLSCR1/APOBEC3G",21
"GO:0045071","negative regulation of viral genome replication","18/296","43/11123",0.418604651162791,15.7302011313639,16.0013364519297,8.94745393382885e-18,5.86237181744466e-15,5.18198858357119e-15,"EIF2AK2/OAS1/OAS3/OAS2/IFIH1/TRIM6/ZNFX1/BST2/RSAD2/OASL/IFIT5/MX1/IFI16/ISG20/IFIT1/ISG15/PLSCR1/APOBEC3G",18
"GO:0045088","regulation of innate immune response","47/296","423/11123",0.111111111111111,4.1753003003003,11.0089609647307,3.370821380118e-17,1.84046847354443e-14,1.6268648450359e-14,"EIF2AK2/IFI35/CEACAM1/OAS1/SAMHD1/RIPK2/LILRB1/RIGI/DHX58/MAP2K6/UNC93B1/OAS3/IFIH1/TRIM32/CD274/TRIM6/NMI/ZNFX1/ZBP1/IRF5/TRIM5/RSAD2/OASL/TRAFD1/CD36/DDX60/CASP1/PARP9/NLRC5/TIFA/SERPING1/GBP5/SLAMF8/ADAR/GBP2/IFI16/AIM2/STAT2/PARP14/TIGIT/USP18/IRF7/ISG15/PLSCR1/CALHM6/TLR7/TREX1",47
"GO:0050792","regulation of viral process","26/296","120/11123",0.216666666666667,8.14183558558559,13.0055327485452,6.11659168559756e-17,2.86256490885966e-14,2.53033740256826e-14,"EIF2AK2/SP100/LAMP3/OAS1/OAS3/OAS2/TRIM38/IFIH1/STAT1/TRIM32/TRIM6/ZNFX1/BST2/TRIM5/RSAD2/OASL/DYNLT1/IFIT5/MX1/ADAR/IFI16/ISG20/IFIT1/ISG15/PLSCR1/APOBEC3G",26
"GO:0045069","regulation of viral genome replication","20/296","70/11123",0.285714285714286,10.7364864864865,13.5112158738233,8.17118658634636e-16,3.34610090710884e-13,2.95775451303143e-13,"EIF2AK2/OAS1/OAS3/OAS2/TRIM38/IFIH1/TRIM6/ZNFX1/BST2/RSAD2/OASL/IFIT5/MX1/ADAR/IFI16/ISG20/IFIT1/ISG15/PLSCR1/APOBEC3G",20
"GO:0034340","response to type I interferon","20/296","75/11123",0.266666666666667,10.0207207207207,12.9602467099608,3.59570600272575e-15,1.21057105324362e-12,1.07007292830577e-12,"SP100/OAS1/SAMHD1/OAS3/OAS2/IFIH1/STAT1/TRIM6/ZBP1/OASL/NLRC5/MX1/ADAR/IFI27/STAT2/USP18/IRF7/IFIT1/ISG15/TREX1",20
"GO:0016032","viral process","38/296","316/11123",0.120253164556962,4.5188376667807,10.492365970447,3.69527183529799e-15,1.21057105324362e-12,1.07007292830577e-12,"EIF2AK2/SP100/LAMP3/CHMP5/SIGLEC1/OAS1/OAS3/OAS2/TRIM38/IFIH1/STAT1/TRIM32/TRIM6/ZNFX1/BST2/TRIM5/RSAD2/CTSL/OASL/CALCOCO2/PARP9/PARP16/KIAA0319L/DYNLT1/IFIT5/GBP5/MX1/ADAR/GBP2/IFI16/ISG20/PARP10/GAS6/IRF7/IFIT1/ISG15/PLSCR1/APOBEC3G",38
