"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","20/174","125/5433",0.16,4.99586206896552,8.22058941324402,1.68799484710856e-09,3.79798840599427e-07,3.53590499552215e-07,"578/5610/4938/23586/4940/4939/64135/6772/8743/91543/10241/834/5371/4599/103/6773/4600/3665/51284/10379",20
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","19/174","142/5433",0.133802816901408,4.17787761049053,6.97935643102935,9.01172108153353e-08,9.78292039531464e-06,9.10784167797714e-06,"4938/8767/4940/4939/6772/2635/2633/8737/834/115362/2634/115361/3428/9447/1536/6773/3665/114769/10379",19
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","12/174","56/5433",0.214285714285714,6.69088669950739,7.78586472654869,1.30438938604195e-07,9.78292039531464e-06,9.10784167797714e-06,"25939/23586/81030/8737/834/103/3428/9447/840/3665/653082/11277",12
"Human Diseases","Infectious disease: viral","hsa05162","Measles","16/174","109/5433",0.146788990825688,4.58335969629864,6.87365213866516,2.73459604762412e-07,1.53821027678857e-05,1.43206477230842e-05,"578/5610/4938/3560/23586/4940/4939/64135/6772/4599/103/6773/4600/3665/51284/10379",16
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","20/174","171/5433",0.116959064327485,3.65194595684614,6.40899927074435,3.87762968429152e-07,1.74493335793119e-05,1.62452275194529e-05,"5610/4938/23586/4940/4939/64135/6772/834/4599/714/103/1536/717/6773/713/712/4600/9636/51284/10379",20
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","15/174","113/5433",0.132743362831858,4.1447970704913,6.1443925118972,2.44807691144396e-06,9.18028841791485e-05,8.54679483118154e-05,"578/5610/4938/23586/4940/4939/6772/91543/8737/4599/6773/4600/3665/3434/10379",15
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","17/174","148/5433",0.114864864864865,3.58655638397018,5.80274159531025,3.93875842120425e-06,0.000126602949252994,0.000117866605386413,"578/5610/6672/4938/23586/4940/4939/64135/6772/684/5371/567/6890/6773/3665/6891/10379",17
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","18/174","175/5433",0.102857142857143,3.21162561576355,5.4090782511179,9.81953709246518e-06,0.000276174480725583,0.000257116826500075,"864/578/5610/4938/958/23586/5608/4940/4939/6772/8737/567/6890/6773/3665/9636/6891/10379",18
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","9/174","48/5433",0.1875,5.85452586206897,6.14437202739969,1.64706761738762e-05,0.000411766904346904,0.000383352579953375,"843/23586/79132/64135/57169/8737/103/3665/9636",9
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","9/174","59/5433",0.152542372881356,4.76300409117475,5.28584939045523,9.11184933585032e-05,0.00205016610056632,0.0019086926503518,"958/2209/3017/8365/714/717/713/712/8349",9
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","9/174","73/5433",0.123287671232877,3.84955125177137,4.45818849880958,0.000478989337010382,0.00979750916612146,0.00912142373828384,"958/5608/6772/3663/8737/6773/3665/51284/10379",9
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","7/174","56/5433",0.125,3.90301724137931,3.97170084974181,0.0018880863693871,0.0354016194260082,0.0329587006585995,"834/710/714/840/717/713/712",7
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","10/174","113/5433",0.0884955752212389,2.7631980469942,3.444985680825,0.00314279524249644,0.0543945330432077,0.0506409921665419,"5610/51510/6772/8743/81030/8737/834/1536/6773/10379",10
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","10/174","120/5433",0.0833333333333333,2.60201149425287,3.22767101496898,0.00484746477384078,0.0779056838652982,0.0725297360897981,"843/578/5414/8743/1514/8737/597/840/8722/2081",10
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","11/174","152/5433",0.0723684210526316,2.25964156079855,2.86492733383699,0.00914693722953556,0.133002075607244,0.123824154600429,"578/5610/5608/9976/6772/64422/1230/6773/3665/4277/10379",11
