"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-913531","Interferon Signaling","55/226","238/7483",0.23109243697479,7.65161374284227,18.4026690329641,1.57733654288862e-34,1.23032250345312e-31,1.10413558002203e-31,"EIF2AK2/SP100/IFI35/OAS1/SAMHD1/RIGI/KPNB1/MAP2K6/OAS3/OAS2/TRIM38/IFIH1/STAT1/GBP3/GBP1/IFIT3/IFIT2/TRIM6/MT2A/IFI6/IRF5/BST2/TRIM5/TRIM22/XAF1/RSAD2/OASL/CASP1/IFI44L/IFI44/HERC5/PML/FCGR1A/IFIT5/GBP5/UBE2L6/MX1/ADAR/GBP2/GBP4/IFI27/B2M/STAT2/ISG20/UBA7/GBP6/MX2/USP18/SOCS1/IRF7/IFIT1/ISG15/FANCA/IRF9/IFI30",55
"R-HSA-909733","Interferon alpha/beta signaling","30/226","61/7483",0.491803278688525,16.2839112142754,21.1506373381956,3.72053201152622e-30,1.45100748449523e-27,1.30218620403418e-27,"EIF2AK2/IFI35/OAS1/SAMHD1/KPNB1/OAS3/OAS2/STAT1/IFIT3/IFIT2/IFI6/IRF5/BST2/XAF1/RSAD2/OASL/IFIT5/MX1/ADAR/GBP2/IFI27/STAT2/ISG20/MX2/USP18/SOCS1/IRF7/IFIT1/ISG15/IRF9",30
"R-HSA-877300","Interferon gamma signaling","25/226","81/7483",0.308641975308642,10.2193269966131,14.721487620341,3.16430407377721e-19,8.22719059182076e-17,7.38337617214683e-17,"SP100/OAS1/OAS3/OAS2/TRIM38/STAT1/GBP3/GBP1/TRIM6/MT2A/IRF5/TRIM5/TRIM22/OASL/PML/FCGR1A/GBP5/GBP2/GBP4/B2M/GBP6/SOCS1/IRF7/IRF9/IFI30",25
"R-HSA-1169410","Antimicrobial mechanism of IFN-stimulated genes","25/226","146/7483",0.171232876712329,5.66962662140866,10.0550407391111,1.0090707382157e-12,1.96768793952062e-10,1.76587379187748e-10,"EIF2AK2/OAS1/RIGI/KPNB1/MAP2K6/OAS3/OAS2/STAT1/GBP3/GBP1/OASL/CASP1/HERC5/GBP5/UBE2L6/MX1/ADAR/GBP2/GBP4/UBA7/MX2/USP18/IFIT1/ISG15/FANCA",25
"R-HSA-9909505","Modulation of host responses by IFN-stimulated genes","10/226","18/7483",0.555555555555556,18.3947885939036,13.0384213450624,1.83571271626146e-11,2.86371183736788e-09,2.56999780276605e-09,"RIGI/IFIH1/IFI6/IFI44L/IFI44/HERC5/UBE2L6/IFI27/UBA7/ISG15",10
"R-HSA-168928","DDX58/IFIH1-mediated induction of interferon-alpha/beta","12/226","65/7483",0.184615384615385,6.11272974812798,7.30551120016213,4.20976727635834e-07,5.47269745926584e-05,4.91139515575139e-05,"CASP10/RNF216/RIGI/DHX58/IFIH1/RIPK1/HERC5/NLRC5/UBE2L6/UBA7/IRF7/ISG15",12
"R-HSA-9953170","GBP-mediated host defense","6/226","13/7483",0.461538461538462,15.2818243703199,9.09451562160978,1.02086696390936e-06,0.000113753747407043,0.000102086696390936,"GBP3/GBP1/CASP1/GBP5/GBP2/GBP4",6
"R-HSA-1169408","ISG15 antiviral mechanism","12/226","72/7483",0.166666666666667,5.51843657817109,6.79830339426919,1.33189542704493e-06,0.000129859804136881,0.000116540849866432,"EIF2AK2/RIGI/KPNB1/STAT1/HERC5/UBE2L6/MX1/UBA7/MX2/USP18/IFIT1/ISG15",12
"R-HSA-936440","Negative regulators of DDX58/IFIH1 signaling","8/226","34/7483",0.235294117647059,7.79073399271213,7.00312212498093,5.63338018203137e-06,0.000488226282442719,0.000438151791935773,"RNF216/RIGI/IFIH1/HERC5/NLRC5/UBE2L6/UBA7/ISG15",8
"R-HSA-9833110","RSV-host interactions","11/226","77/7483",0.142857142857143,4.73008849557522,5.80573426992201,1.72586365201892e-05,0.00134617364857476,0.00120810455641324,"EIF2AK2/RIGI/OAS2/IFIH1/HERC5/UBE2L6/SDC3/STAT2/ISG15/AGRN/TLR7",11
"R-HSA-9956593","Enterobacterial factors antagonize host defense","5/226","14/7483",0.357142857142857,11.8252212389381,7.1540847231795,3.85158526432667e-05,0.00253510812393385,0.00227509703429961,"GBP3/GBP1/GBP2/GBP4/GBP6",5
"R-HSA-9820952","Respiratory Syncytial Virus Infection Pathway","12/226","99/7483",0.121212121212121,4.01340842048807,5.32616063865374,3.90016634451362e-05,0.00253510812393385,0.00227509703429961,"EIF2AK2/RIGI/KPNB1/OAS2/IFIH1/HERC5/UBE2L6/SDC3/STAT2/ISG15/AGRN/TLR7",12
"R-HSA-168898","Toll-like Receptor Cascades","15/226","153/7483",0.0980392156862745,3.24613916363005,4.95353114932738,5.46154734046011e-05,0.00327692840427607,0.00294083318332468,"RPS6KA2/RIPK2/DUSP3/MAP2K6/UNC93B1/IRF5/CTSL/CD36/RIPK1/NLRC5/TIFA/USP18/SOCS1/IRF7/TLR7",15
"R-HSA-9692916","SARS-CoV-1 activates/modulates innate immune responses","7/226","38/7483",0.184210526315789,6.09932463903121,5.5610476790614,0.000118545093744883,0.00660465522292919,0.00592725468724415,"RIGI/KPNB1/IFIH1/NMI/BST2/CASP1/TLR7",7
"R-HSA-983169","Class I MHC mediated antigen processing & presentation","23/226","329/7483",0.0699088145896656,2.31472415740915,4.30370638021133,0.000139519592371498,0.0072550188033179,0.00651091431066991,"PSMA4/VAMP3/ASB1/PSME2/FBXO6/TRIM32/RNF114/CTSL/CD36/HERC6/HERC5/FCGR1A/UBE2L6/DTX3L/CYBB/B2M/TAP1/RNF213/UBA7/UBE2F/SOCS1/TRIM69/TAP2",23
"R-HSA-9678108","SARS-CoV-1 Infection","13/226","131/7483",0.099236641221374,3.28578666486523,4.65750257141568,0.000152446158149904,0.00743175020980784,0.00666951941905832,"RIGI/KPNB1/IFIH1/NMI/BST2/CTSL/RIPK1/CASP1/PARP9/PARP16/PARP14/PARP10/TLR7",13
"R-HSA-166663","Initial triggering of complement","4/226","11/7483",0.363636363636364,12.0402252614642,6.46606931169924,0.000226226637624904,0.00980315429707918,0.00879770257430182,"C1QC/C2/C1QB/C1QA",4
"R-HSA-9683610","Maturation of nucleoprotein","4/226","11/7483",0.363636363636364,12.0402252614642,6.46606931169924,0.000226226637624904,0.00980315429707918,0.00879770257430182,"PARP9/PARP16/PARP14/PARP10",4
"R-HSA-1236975","Antigen processing-Cross presentation","10/226","87/7483",0.114942528735632,3.80581832977317,4.64520872477117,0.000269986196049999,0.011083643837842,0.00994685985447363,"PSMA4/VAMP3/PSME2/CTSL/CD36/FCGR1A/CYBB/B2M/TAP1/TAP2",10
"R-HSA-912694","Regulation of IFNA/IFNB signaling","4/226","12/7483",0.333333333333333,11.0368731563422,6.14022379690659,0.00033133373129343,0.0123066814480417,0.011044457709781,"STAT1/STAT2/USP18/SOCS1",4
"R-HSA-933543","NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10","4/226","12/7483",0.333333333333333,11.0368731563422,6.14022379690659,0.00033133373129343,0.0123066814480417,0.011044457709781,"CASP10/RIGI/IFIH1/RIPK1",4
"R-HSA-9833482","PKR-mediated signaling","8/226","60/7483",0.133333333333333,4.41474926253687,4.68629069497296,0.000403660078100723,0.0143115845872075,0.0128437297577503,"EIF2AK2/MAP2K6/STAT1/HERC5/UBE2L6/ADAR/ISG15/FANCA",8
"R-HSA-9686114","Non-canonical inflammasome activation","4/226","13/7483",0.307692307692308,10.1878829135466,5.85074725190025,0.000467312194150368,0.0158479787581429,0.014222545039359,"GBP3/GBP1/GBP2/GBP4",4
