"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022613","ribonucleoprotein complex biogenesis","28/193","433/11123",0.0646651270207852,3.72678864172121,7.69071275213853,1.55997344989636e-09,3.72365662490261e-06,3.5238979194501e-06,"SART3/GEMIN5/WBP11/NOP14/HSP90AB1/EIF3A/DROSHA/SF3B6/HEATR1/DDX27/KRI1/DKC1/MYBBP1A/NAT10/DHX9/SNRNP200/PDCD11/EIF5B/RRP1B/NOL6/BMS1/NOLC1/EXOSC10/PRPF8/GEMIN4/SF3B3/DDX42/MCTS1",28
"GO:0016072","rRNA metabolic process","18/193","256/11123",0.0703125,4.05225874352332,6.56517813629261,4.71408355621969e-07,0.00056262587243482,0.000532443332191971,"POLR1A/TCOF1/WBP11/NOP14/DROSHA/NCL/HEATR1/DDX27/KRI1/DKC1/NAT10/PDCD11/RRP1B/NOL6/BMS1/NOLC1/EXOSC10/GEMIN4",18
"GO:0006364","rRNA processing","15/193","212/11123",0.0707547169811321,4.07774464757063,6.012128524891,4.10085502007727e-06,0.00326291364430814,0.00308787188529327,"WBP11/NOP14/DROSHA/HEATR1/DDX27/KRI1/DKC1/NAT10/PDCD11/RRP1B/NOL6/BMS1/NOLC1/EXOSC10/GEMIN4",15
"GO:0033044","regulation of chromosome organization","15/193","220/11123",0.0681818181818182,3.92946302402261,5.83158182757887,6.45136252347303e-06,0.00384985058588253,0.0036433220987824,"BAZ1B/NCAPD2/RNF4/SMG6/SMARCA2/YLPM1/INO80/DKC1/NAT10/NUMA1/SMARCC2/PARP1/EXOSC10/SMARCC1/USP7",15
"GO:0051276","chromosome organization","22/193","456/11123",0.0482456140350877,2.78049722752477,5.15896515377791,1.34163823000694e-05,0.0042091162887025,0.0039833146894607,"BAZ1B/NCAPD2/RFC1/RNF4/NUP133/SMG6/SMC1A/SMARCA2/HSP90AB1/YLPM1/INO80/DKC1/RPA1/NAT10/NUMA1/GTF2B/SMARCC2/PARP1/EXOSC10/SMARCC1/USP7/CHAMP1",22
"GO:0006360","transcription by RNA polymerase I","8/193","65/11123",0.123076923076923,7.09318453567158,6.54670445605881,1.53900661792149e-05,0.0042091162887025,0.0039833146894607,"BAZ1B/POLR1A/TCOF1/UBTF/NCL/HEATR1/MYBBP1A/PHF8",8
"GO:0010833","telomere maintenance via telomere lengthening","8/193","65/11123",0.123076923076923,7.09318453567158,6.54670445605881,1.53900661792149e-05,0.0042091162887025,0.0039833146894607,"RFC1/SMG6/HSP90AB1/DKC1/RPA1/NAT10/PARP1/EXOSC10",8
"GO:0022618","protein-RNA complex assembly","13/193","181/11123",0.0718232044198895,4.13932384851,5.65831433917842,1.56066461238262e-05,0.0042091162887025,0.0039833146894607,"SART3/GEMIN5/HSP90AB1/EIF3A/SF3B6/DKC1/DHX9/SNRNP200/PRPF8/GEMIN4/SF3B3/DDX42/MCTS1",13
"GO:0042254","ribosome biogenesis","17/193","297/11123",0.0572390572390572,3.29880846461157,5.33589186535983,1.58701493918402e-05,0.0042091162887025,0.0039833146894607,"WBP11/NOP14/DROSHA/HEATR1/DDX27/KRI1/DKC1/MYBBP1A/NAT10/PDCD11/EIF5B/RRP1B/NOL6/BMS1/NOLC1/EXOSC10/GEMIN4",17
"GO:0045943","positive regulation of transcription by RNA polymerase I","6/193","33/11123",0.181818181818182,10.4785680640603,7.24592690701149,1.89284799069006e-05,0.00451822815377716,0.00427584398739038,"BAZ1B/UBTF/NCL/HEATR1/MYBBP1A/PHF8",6
