"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","9/109","93/5433",0.0967741935483871,4.82361645457236,5.32131874587461,8.9170826070959e-05,0.0144456738234954,0.0144456738234954,"9031/6595/10847/54617/6601/57459/6599/57634/8295",9
"Genetic Information Processing","Translation","hsa03008","Ribosome biogenesis in eukaryotes","7/109","71/5433",0.0985915492957746,4.9142008011371,4.74988371199828,0.000498454596453529,0.0403748223127359,0.0403748223127359,"6949/29102/55127/1736/55226/65083/9790",7
"Genetic Information Processing","Translation","hsa00970","Aminoacyl-tRNA biosynthesis","5/109","43/5433",0.116279069767442,5.7958182206102,4.5172764007712,0.001555171458933,0.0839792587823818,0.0839792587823818,"23395/16/51520/2058/3376",5
"Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","7/109","95/5433",0.0736842105263158,3.67271849348141,3.7601038758776,0.00279357782959478,0.113139902098588,0.113139902098588,"55746/23511/7341/57510/23225/10250/6613",7
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","4/109","35/5433",0.114285714285714,5.69646133682831,3.98806694278615,0.00497279395237117,0.161118524056826,0.161118524056826,"5981/5422/4172/6117",4
"Genetic Information Processing","Transcription","hsa03040","Spliceosome","7/109","137/5433",0.0510948905109489,2.54677559766959,2.62354014131343,0.0196141331751911,0.529581595730159,0.529581595730159,"51729/51639/9785/23020/10594/23450/11325",7
"Genetic Information Processing","Replication and repair","hsa03420","Nucleotide excision repair","4/109","57/5433",0.0701754385964912,3.49782713664896,2.71234096680926,0.0268352955433089,0.621045411145149,0.621045411145149,"5981/6117/1642/5430",4
"Genetic Information Processing","Replication and repair","hsa03430","Mismatch repair","2/109","21/5433",0.0952380952380952,4.74705111402359,2.46146960315974,0.0653898197629844,0.96047757638386,0.96047757638386,"5981/6117",2
"Genetic Information Processing","Chromosome","hsa03083","Polycomb repressive complex","4/109","76/5433",0.0526315789473684,2.62337035248672,2.03909607823013,0.0655200911046724,0.96047757638386,0.96047757638386,"10238/3054/54880/7874",4
NA,NA,"hsa04156","Integrated stress response (ISR) signaling pathway","3/109","47/5433",0.0638297872340425,3.18153425727113,2.14907661210415,0.0674406201177581,0.96047757638386,0.96047757638386,"3326/3313/57521",3
