"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-3108232","SUMO E3 ligases SUMOylate target proteins","13/147","149/7483",0.087248322147651,4.44135506551614,6.00606493233919,6.43505916856946e-06,0.00265633248777118,0.00222085717940074,"NUP133/SMC1A/NUP188/SUMO1/DNMT1/PIAS3/NUP210/RPA1/VHL/MDC1/PARP1/SIN3A/SUMO2",13
"R-HSA-2990846","SUMOylation","13/147","155/7483",0.0838709677419355,4.26943164362519,5.82214796421494,9.92784358944257e-06,0.00265633248777118,0.00222085717940074,"NUP133/SMC1A/NUP188/SUMO1/DNMT1/PIAS3/NUP210/RPA1/VHL/MDC1/PARP1/SIN3A/SUMO2",13
"R-HSA-3108214","SUMOylation of DNA damage response and repair proteins","9/147","74/7483",0.121621621621622,6.19111969111969,6.35235796010867,1.27097248218717e-05,0.00265633248777118,0.00222085717940074,"NUP133/SMC1A/NUP188/SUMO1/NUP210/RPA1/MDC1/PARP1/SUMO2",9
"R-HSA-3371556","Cellular response to heat stress","9/147","80/7483",0.1125,5.72678571428571,6.01651343842417,2.41277099139285e-05,0.00312422283365547,0.00261204225830677,"NUP133/NUP188/HSP90AB1/HSPA9/NUP210/RPA1/RPTOR/BAG3/HSBP1",9
"R-HSA-9918481","Dengue Virus-Host Interactions","15/147","220/7483",0.0681818181818182,3.47077922077922,5.26532419472436,2.49140576846529e-05,0.00312422283365547,0.00261204225830677,"WBP11/HSP90AB1/SF3B6/SRRM1/DHX9/DHX38/RPTOR/SNRNP200/SRRM2/FASN/PRPF8/POLR2A/SF3B3/PIK3R4/DDX42",15
"R-HSA-5696398","Nucleotide Excision Repair","10/147","107/7483",0.0934579439252336,4.75745438362261,5.54131718194068,4.34513593603399e-05,0.00415801674933049,0.00347635749377417,"RFC1/SUMO1/INO80/PIAS3/RPA1/PARP1/DDB1/POLR2A/USP7/SUMO2",10
"R-HSA-9839923","Dengue Virus Infection","18/147","318/7483",0.0566037735849057,2.88140161725067,4.85316250477577,4.64212396256993e-05,0.00415801674933049,0.00347635749377417,"WBP11/HSP90AB1/NCL/SF3B6/SUMO1/SRRM1/DHX9/DHX38/RPTOR/SNRNP200/HYOU1/SRRM2/FASN/PRPF8/POLR2A/SF3B3/PIK3R4/DDX42",18
"R-HSA-3247509","Chromatin modifying enzymes","14/147","209/7483",0.0669856459330144,3.40988835725678,5.00174188479541,5.71460838089011e-05,0.00447882431852263,0.00374457233379379,"JADE2/SMARCA2/BRPF3/SETD1A/ELP3/KAT7/SAP130/SMARCC2/GATAD2B/HCFC1/PHF8/SMARCC1/EP400/TRRAP",14
"R-HSA-4839726","Chromatin organization","14/147","223/7483",0.062780269058296,3.19581464872945,4.71213427220141,0.000115103624885354,0.00801888586701299,0.00670428130911184,"JADE2/SMARCA2/BRPF3/SETD1A/ELP3/KAT7/SAP130/SMARCC2/GATAD2B/HCFC1/PHF8/SMARCC1/EP400/TRRAP",14
"R-HSA-6790901","rRNA modification in the nucleus and cytosol","7/147","59/7483",0.11864406779661,6.03954802259887,5.50093445436901,0.000142009011926831,0.00865814438150754,0.00723874070677538,"NOP14/HEATR1/DKC1/NAT10/PDCD11/NOL6/BMS1",7
