"stringId_A","stringId_B","preferredName_A","preferredName_B","ncbiTaxonId","score","nscore","fscore","pscore","ascore","escore","dscore","tscore"
"9606.ENSP00000003302","9606.ENSP00000340648","USP28","HUWE1",9606,0.42,0,0,0,0.108,0,0,0.376
"9606.ENSP00000003302","9606.ENSP00000481859","USP28","PAN2",9606,0.439,0,0,0,0.075,0,0,0.418
"9606.ENSP00000003302","9606.ENSP00000282605","USP28","JADE2",9606,0.457,0,0,0,0.056,0,0,0.448
"9606.ENSP00000003302","9606.ENSP00000394791","USP28","SENP1",9606,0.487,0,0,0,0.119,0.292,0,0.242
"9606.ENSP00000003302","9606.ENSP00000401642","USP28","ZNF304",9606,0.51,0,0,0,0,0.324,0,0.305
"9606.ENSP00000003302","9606.ENSP00000365588","USP28","MDC1",9606,0.526,0,0,0,0.058,0.292,0,0.346
"9606.ENSP00000003302","9606.ENSP00000278616","USP28","ATM",9606,0.593,0,0,0,0.135,0.292,0,0.388
"9606.ENSP00000003302","9606.ENSP00000218348","USP28","USP11",9606,0.613,0,0,0,0.069,0.073,0,0.587
"9606.ENSP00000003302","9606.ENSP00000377298","USP28","NUMA1",9606,0.62,0,0,0,0.082,0.292,0,0.462
"9606.ENSP00000003302","9606.ENSP00000441214","USP28","USP36",9606,0.675,0,0,0,0.11,0,0,0.65
"9606.ENSP00000003302","9606.ENSP00000343535","USP28","USP7",9606,0.687,0,0,0,0.128,0.315,0,0.518
"9606.ENSP00000003302","9606.ENSP00000405965","USP28","SUMO2",9606,0.697,0,0,0,0.042,0.6,0,0.273
"9606.ENSP00000003302","9606.ENSP00000313811","USP28","USP20",9606,0.71,0,0,0,0.047,0.315,0,0.592
"9606.ENSP00000003302","9606.ENSP00000263966","USP28","USP13",9606,0.76,0,0,0,0.145,0.301,0,0.63
"9606.ENSP00000003302","9606.ENSP00000478887","USP28","MYC",9606,0.966,0,0,0,0,0.791,0.7,0.507
"9606.ENSP00000008527","9606.ENSP00000478887","CRY1","MYC",9606,0.403,0,0,0,0.058,0,0,0.392
"9606.ENSP00000008527","9606.ENSP00000478255","CRY1","ABCB1",9606,0.406,0,0,0,0.062,0.287,0,0.182
"9606.ENSP00000008527","9606.ENSP00000354394","CRY1","STAT1",9606,0.406,0,0,0,0,0,0,0.406
"9606.ENSP00000008527","9606.ENSP00000335074","CRY1","GHRL",9606,0.408,0,0,0,0,0,0,0.408
"9606.ENSP00000008527","9606.ENSP00000304592","CRY1","FASN",9606,0.419,0,0,0,0,0.054,0,0.411
"9606.ENSP00000008527","9606.ENSP00000386023","CRY1","BUD31",9606,0.42,0,0,0,0.042,0,0,0.42
"9606.ENSP00000008527","9606.ENSP00000301732","CRY1","ABCA3",9606,0.435,0,0,0,0,0,0,0.435
"9606.ENSP00000008527","9606.ENSP00000408695","CRY1","PRKCA",9606,0.456,0,0,0,0.042,0,0,0.456
"9606.ENSP00000008527","9606.ENSP00000379563","CRY1","TSPO",9606,0.491,0.111,0,0,0.307,0,0,0.24
"9606.ENSP00000008527","9606.ENSP00000370968","CRY1","MYBBP1A",9606,0.509,0,0,0,0,0,0,0.509
"9606.ENSP00000008527","9606.ENSP00000301764","CRY1","DDB1",9606,0.54,0,0,0,0,0.301,0,0.368
"9606.ENSP00000008527","9606.ENSP00000364589","CRY1","CUL4A",9606,0.565,0,0,0,0.06,0.303,0,0.39
"9606.ENSP00000008527","9606.ENSP00000250615","CRY1","AANAT",9606,0.608,0,0,0,0,0,0,0.608
"9606.ENSP00000008527","9606.ENSP00000343535","CRY1","USP7",9606,0.635,0,0,0,0.049,0.292,0,0.501
"9606.ENSP00000008527","9606.ENSP00000368880","CRY1","FOXO1",9606,0.778,0,0,0,0.049,0.512,0,0.561
"9606.ENSP00000008527","9606.ENSP00000359206","CRY1","BTRC",9606,0.871,0,0,0,0.074,0.292,0.5,0.653
"9606.ENSP00000008527","9606.ENSP00000323867","CRY1","PRKAG1",9606,0.913,0,0,0,0.049,0,0.9,0.161
"9606.ENSP00000008527","9606.ENSP00000261523","CRY1","RORA",9606,0.935,0,0,0,0.074,0.095,0,0.929
"9606.ENSP00000008527","9606.ENSP00000256495","CRY1","BHLHE40",9606,0.969,0,0,0,0.085,0.289,0,0.956
"9606.ENSP00000008527","9606.ENSP00000478187","CRY1","CRY2",9606,0.999,0,0,0.053,0.049,0.986,0.9,0.553
"9606.ENSP00000008527","9606.ENSP00000380044","CRY1","CSNK1E",9606,0.999,0,0,0,0.047,0.968,0.8,0.938
"9606.ENSP00000040663","9606.ENSP00000358812","MRI1","PDCD11",9606,0.423,0.231,0,0,0.104,0,0,0.23
"9606.ENSP00000040663","9606.ENSP00000360268","MRI1","ALDH18A1",9606,0.549,0.272,0,0,0.121,0,0,0.353
"9606.ENSP00000040663","9606.ENSP00000355536","MRI1","MTR",9606,0.576,0,0,0,0.311,0,0,0.41
"9606.ENSP00000040663","9606.ENSP00000379038","MRI1","TYMP",9606,0.642,0.211,0,0,0,0,0.565,0
"9606.ENSP00000040877","9606.ENSP00000361446","TARBP1","POLR3A",9606,0.411,0.057,0,0,0.401,0,0,0
"9606.ENSP00000040877","9606.ENSP00000399797","TARBP1","MOV10",9606,0.413,0,0,0,0.042,0,0,0.411
"9606.ENSP00000040877","9606.ENSP00000363642","TARBP1","BMS1",9606,0.413,0,0,0,0.413,0,0,0
"9606.ENSP00000040877","9606.ENSP00000481495","TARBP1","DDX24",9606,0.415,0.042,0,0,0.291,0.18,0,0.074
"9606.ENSP00000040877","9606.ENSP00000355890","TARBP1","EPRS1",9606,0.421,0.264,0,0,0.183,0,0,0.115
"9606.ENSP00000040877","9606.ENSP00000425979","TARBP1","DROSHA",9606,0.456,0.061,0,0,0.147,0,0,0.375
"9606.ENSP00000040877","9606.ENSP00000417401","TARBP1","HELZ2",9606,0.476,0.079,0,0,0.378,0.092,0,0.112
"9606.ENSP00000040877","9606.ENSP00000257347","TARBP1","CARS2",9606,0.502,0.102,0,0,0.354,0,0,0.211
"9606.ENSP00000040877","9606.ENSP00000370968","TARBP1","MYBBP1A",9606,0.513,0,0,0,0.513,0,0,0
"9606.ENSP00000040877","9606.ENSP00000257829","TARBP1","NAT10",9606,0.579,0,0,0,0.57,0,0,0.061
"9606.ENSP00000040877","9606.ENSP00000372199","TARBP1","URB1",9606,0.593,0,0,0,0.593,0,0,0
"9606.ENSP00000040877","9606.ENSP00000308179","TARBP1","WDR3",9606,0.603,0,0,0,0.603,0,0,0
"9606.ENSP00000040877","9606.ENSP00000419370","TARBP1","MALSU1",9606,0.652,0.099,0,0,0.044,0.623,0,0.057
"9606.ENSP00000040877","9606.ENSP00000417402","TARBP1","PUS7",9606,0.656,0,0,0,0.326,0.497,0,0.066
"9606.ENSP00000040877","9606.ENSP00000355541","TARBP1","HEATR1",9606,0.684,0,0,0,0.684,0,0,0
"9606.ENSP00000040877","9606.ENSP00000263857","TARBP1","POLR1A",9606,0.686,0.057,0,0,0.68,0,0,0
"9606.ENSP00000040877","9606.ENSP00000358812","TARBP1","PDCD11",9606,0.72,0.115,0,0,0.689,0.063,0,0
"9606.ENSP00000040877","9606.ENSP00000298746","TARBP1","TRUB1",9606,0.725,0.053,0,0,0.143,0,0,0.688
"9606.ENSP00000040877","9606.ENSP00000261637","TARBP1","UTP20",9606,0.824,0,0,0,0.817,0,0,0.077
"9606.ENSP00000044462","9606.ENSP00000257570","PSMA4","OASL",9606,0.401,0,0,0,0.109,0.301,0,0.116
"9606.ENSP00000044462","9606.ENSP00000302625","PSMA4","AXIN2",9606,0.403,0,0,0,0,0.047,0.4,0
"9606.ENSP00000044462","9606.ENSP00000296417","PSMA4","H2AZ1",9606,0.404,0,0,0,0.266,0.079,0,0.188
"9606.ENSP00000044462","9606.ENSP00000256474","PSMA4","VHL",9606,0.407,0,0,0,0,0,0.4,0.053
"9606.ENSP00000044462","9606.ENSP00000360365","PSMA4","MCTS1",9606,0.408,0,0,0,0.408,0,0,0
"9606.ENSP00000044462","9606.ENSP00000382800","PSMA4","RUNX3",9606,0.408,0,0,0,0,0,0.4,0.055
"9606.ENSP00000044462","9606.ENSP00000216727","PSMA4","PABPN1",9606,0.409,0,0,0,0.393,0.067,0,0
"9606.ENSP00000044462","9606.ENSP00000217515","PSMA4","TXNL1",9606,0.41,0,0,0,0.336,0.096,0,0.097
"9606.ENSP00000044462","9606.ENSP00000481842","PSMA4","SAP18",9606,0.411,0,0,0,0.411,0,0,0
"9606.ENSP00000044462","9606.ENSP00000339109","PSMA4","ANAPC1",9606,0.413,0,0,0,0.062,0,0.4,0
"9606.ENSP00000044462","9606.ENSP00000361359","PSMA4","CD40",9606,0.418,0,0,0,0.055,0,0.4,0.056
"9606.ENSP00000044462","9606.ENSP00000359206","PSMA4","BTRC",9606,0.421,0,0,0,0,0,0.4,0.074
"9606.ENSP00000044462","9606.ENSP00000297185","PSMA4","HSPA9",9606,0.421,0,0,0,0.233,0.071,0,0.251
