"GeneA","ModuleA","GeneB","ModuleB"
"USP28","blue","USP11","purple"
"USP28","blue","JADE2","purple"
"USP28","blue","HUWE1","purple"
"USP28","blue","USP7","purple"
"USP28","blue","MDC1","purple"
"USP28","blue","NUMA1","purple"
"USP28","blue","SUMO2","purple"
"CRY1","blue","AANAT","green"
"CRY1","blue","BHLHE40","green"
"CRY1","blue","DDB1","purple"
"CRY1","blue","FASN","purple"
"CRY1","blue","USP7","purple"
"CRY1","blue","STAT1","green"
"CRY1","blue","MYBBP1A","purple"
"CRY1","blue","CSNK1E","green"
"MRI1","blue","PDCD11","purple"
"MRI1","blue","ALDH18A1","purple"
"TARBP1","blue","NAT10","purple"
"TARBP1","blue","POLR1A","purple"
"TARBP1","blue","HEATR1","purple"
"TARBP1","blue","EPRS1","purple"
"TARBP1","blue","PDCD11","purple"
"TARBP1","blue","BMS1","purple"
"TARBP1","blue","MYBBP1A","purple"
"TARBP1","blue","MOV10","green"
"TARBP1","blue","HELZ2","green"
"TARBP1","blue","DROSHA","purple"
"TARBP1","blue","DDX24","purple"
"PSMA4","green","PABPN1","blue"
"PSMA4","green","TXNL1","blue"
"PSMA4","green","LTBR","blue"
"PSMA4","green","VHL","purple"
"PSMA4","green","PSMC1","blue"
"PSMA4","green","UFD1","blue"
"PSMA4","green","DESI1","blue"
"PSMA4","green","UBE2S","blue"
"PSMA4","green","NFKBIE","blue"
"PSMA4","green","H2AZ1","blue"
"PSMA4","green","HSPA9","purple"
"PSMA4","green","PRDX3","purple"
"PSMA4","green","AXIN2","blue"
"PSMA4","green","ANAPC1","blue"
"PSMA4","green","HUWE1","purple"
"PSMA4","green","HTT","purple"
"PSMA4","green","PSMB10","blue"
"PSMA4","green","SNAPIN","blue"
"PSMA4","green","PSMD4","blue"
"PSMA4","green","BTRC","blue"
"PSMA4","green","CD40LG","blue"
"PSMA4","green","MCTS1","purple"
"PSMA4","green","HSP90AB1","purple"
"PSMA4","green","TXN","blue"
"PSMA4","green","PSMB9","blue"
"PSMA4","green","PSMB8","blue"
"PSMA4","green","POMP","blue"
"PSMA4","green","PSME1","blue"
"PSMA4","green","PSMD13","blue"
"PSMA4","green","SAP18","blue"
"PSMA4","green","NDUFB3","blue"
"GRN","blue","SORT1","green"
"GRN","blue","GNS","green"
"GRN","blue","PDCD6","purple"
"GRN","blue","PML","green"
"GRN","blue","CTSF","green"
"GRN","blue","CTSL","green"
"GRN","blue","IFI30","green"
"VAMP3","green","YKT6","blue"
"VAMP3","green","TMEM59","blue"
"VAMP3","green","CLTA","blue"
"VAMP3","green","HLA-F","blue"
"VAMP3","green","RAB11A","blue"
"VAMP3","green","NAPA","blue"
"VAMP3","green","ESYT1","purple"
"VAMP3","green","ABI2","blue"
"VAMP3","green","IL7R","blue"
"VAMP3","green","STX4","blue"
"VAMP3","green","FMNL3","blue"
"VAMP3","green","PLEKHG4","blue"
"VAMP3","green","MTR","blue"
"VAMP3","green","LDLRAP1","blue"
"VAMP3","green","HLA-C","blue"
"VAMP3","green","HLA-E","blue"
"VAMP3","green","RHOH","blue"
"VAMP3","green","FAM169A","blue"
"VAMP3","green","TGFBRAP1","purple"
"VAMP3","green","PLXNA1","blue"
"VAMP3","green","HLA-A","blue"
"VAMP3","green","SLC4A7","blue"
"VAMP3","green","REPS1","purple"
"VAMP3","green","SENP1","blue"
"VAMP3","green","HLA-B","blue"
"VAMP3","green","ARRB1","blue"
"VAMP3","green","FNBP1","purple"
"VAMP3","green","PIK3R1","blue"
"VAMP3","green","CD3G","blue"
"VAMP3","green","MARCHF2","blue"
"VAMP3","green","LCK","blue"
"VAMP3","green","ARHGEF7","blue"
"VAMP3","green","CDC42","blue"
"VAMP3","green","RALGAPA1","blue"
"VAMP3","green","AP2S1","blue"
"VAMP3","green","STX10","blue"
"RFC2","blue","RPA1","purple"
"RFC2","blue","NASP","green"
"RFC2","blue","CMPK2","green"
"RFC2","blue","POLB","green"
"RFC2","blue","UBE2L6","green"
"RFC2","blue","RRM1","purple"
"RFC2","blue","DDB1","purple"
"RFC2","blue","RMI2","green"
"RFC2","blue","SMC1A","purple"
"RFC2","blue","NCAPD2","purple"
"RFC2","blue","UBA7","green"
"RFC2","blue","BAZ1B","purple"
"RFC2","blue","PARP1","purple"
"RFC2","blue","IFI16","green"
"RFC2","blue","ALDH18A1","purple"
"RFC2","blue","MDC1","purple"
"RFC2","blue","POLA1","purple"
"RFC2","blue","RFC1","purple"
"RFC2","blue","FANCA","green"
"RFC2","blue","BRD2","purple"
"RFC2","blue","SUMO2","purple"
"RFC2","blue","ISG15","green"
"RFC2","blue","B2M","green"
"RFC2","blue","MCM3","purple"
"YIPF1","blue","DNMT1","purple"
"YIPF1","blue","DYNLT1","green"
"YIPF1","blue","HSP90AB1","purple"
"YIPF1","blue","BCOR","purple"
"AQR","blue","SF3B6","purple"
"AQR","blue","DHX38","purple"
"AQR","blue","PPRC1","purple"
"AQR","blue","SRRM2","purple"
"AQR","blue","SF3B3","purple"
"AQR","blue","SNRNP200","purple"
"AQR","blue","SRRM1","purple"
"AQR","blue","WARS1","green"
"AQR","blue","DHX9","purple"
"AQR","blue","BMS1","purple"
"AQR","blue","CLEC16A","purple"
"AQR","blue","PRPF8","purple"
"DERL2","blue","ERP44","green"
"DERL2","blue","ESYT1","purple"
"DERL2","blue","ATG3","green"
"DERL2","blue","SYVN1","purple"
"DERL2","blue","ERN1","green"
"DERL2","blue","ERLIN1","green"
"DERL2","blue","HYOU1","purple"
"CEACAM1","green","CCR7","blue"
"CEACAM1","green","LGALS3","blue"
"CEACAM1","green","CD96","blue"
"CEACAM1","green","MCEMP1","blue"
"CEACAM1","green","LGALS9C","blue"
"CEACAM1","green","TNFRSF14","blue"
"CEACAM1","green","DPP4","blue"
"CEACAM1","green","LGALS9","blue"
"CEACAM1","green","MAGEE1","blue"
"FSTL3","blue","GAS6","green"
"FSTL3","blue","FAM20A","green"
"ST6GAL1","purple","NANS","green"
"ST6GAL1","purple","LGALS3","blue"
"ST6GAL1","purple","MGAT4A","blue"
"ST6GAL1","purple","ASGR1","blue"
"ST6GAL1","purple","COG4","blue"
"ST6GAL1","purple","MGAT1","blue"
"ST6GAL1","purple","MGAT4B","blue"
"ST6GAL1","purple","POFUT1","blue"
"ST6GAL1","purple","HLA-C","blue"
"ST6GAL1","purple","HMG20A","blue"
"ST6GAL1","purple","HLA-A","blue"
"ST6GAL1","purple","HLA-B","blue"
"ST6GAL1","purple","SIGLEC6","blue"
"ST6GAL1","purple","CASD1","blue"
"MKRN2","blue","ELP3","purple"
"MKRN2","blue","IGF2BP3","green"
"MKRN2","blue","PARP12","green"
"CLIC5","blue","EZR","purple"
"CLIC5","blue","SPTBN1","purple"
