"Gene","Module","Degree","Betweenness","Closeness","Eigenvector"
"MYC","blue",223,0.090307569623114,0.463763964480092,0.363711291068264
"STAT1","green",188,0.0366178646062306,0.434281115879828,1
"H3-3B","blue",133,0.0236296483621555,0.421066319895969,0.171475552053726
"HSP90AB1","purple",132,0.0460313213205011,0.440424374319913,0.210666257245481
"BCL2","blue",130,0.0298785198474843,0.430928932659036,0.248624161736569
"DDX58","green",128,0.00996204031672458,0.397300613496933,0.874218799560634
"ISG15","green",122,0.00894554908098015,0.394974383996097,0.852895854151788
"IFIH1","green",117,0.00596485107982729,0.388342528184217,0.85994978721482
"H2BC21","green",116,0.0153694631777334,0.407808564231738,0.160271043877955
"IRF7","green",107,0.00383494657560341,0.371415462261987,0.829596298782558
"PARP1","purple",104,0.0157608141227684,0.417483238782878,0.218471698111931
"IFI35","green",102,0.00686892424764056,0.376862197392924,0.785773568933386
"ATM","blue",102,0.0143236938447183,0.414384438187868,0.192589176278116
"EIF2AK2","green",101,0.00872870942567505,0.400346191889219,0.737922837703684
"MX1","green",94,0.00220304850999376,0.375463821892393,0.817044291223738
"H2AZ1","blue",94,0.0102618255877883,0.388156317429873,0.0989509808678807
"CDC42","blue",93,0.0374724672684237,0.409769678562389,0.0955351746436404
"CASP1","green",92,0.00853180140184608,0.388622179548728,0.446746068316864
"B2M","green",92,0.0139998578991487,0.399161735700197,0.349513515030402
"CD40","green",91,0.00601899115875271,0.387320574162679,0.310202940370395
"STAT2","green",90,0.00211946791928105,0.377477267428305,0.762983356302636
"DHX58","green",90,0.0019978971738601,0.366870609562656,0.741984599661356
"UBE2L6","green",89,0.00369446965301317,0.371245127264389,0.713427349426026
"IFIT3","green",87,0.00121633570832328,0.357948264426266,0.793983240810827
"PSMB9","blue",87,0.0068529923241058,0.371671258034894,0.561882056343456
"GBP1","green",86,0.00239119004719778,0.360097864768683,0.734883748383784
"IFI16","green",86,0.00528139349979939,0.378536357259762,0.663567001217248
"IFIT1","green",85,0.002399516751771,0.366455409687641,0.772790118447825
"RSAD2","green",85,0.00320190939522432,0.358027421494914,0.758150445111933
"LCK","blue",85,0.0109073007766329,0.391441005802708,0.187242118899984
