"stringId_A","stringId_B","preferredName_A","preferredName_B","ncbiTaxonId","score","nscore","fscore","pscore","ascore","escore","dscore","tscore"
"9606.ENSP00000003302","9606.ENSP00000481859","USP28","PAN2",9606,0.439,0,0,0,0.075,0,0,0.418
"9606.ENSP00000003302","9606.ENSP00000394791","USP28","SENP1",9606,0.487,0,0,0,0.119,0.292,0,0.242
"9606.ENSP00000003302","9606.ENSP00000401642","USP28","ZNF304",9606,0.51,0,0,0,0,0.324,0,0.305
"9606.ENSP00000003302","9606.ENSP00000278616","USP28","ATM",9606,0.593,0,0,0,0.135,0.292,0,0.388
"9606.ENSP00000003302","9606.ENSP00000441214","USP28","USP36",9606,0.675,0,0,0,0.11,0,0,0.65
"9606.ENSP00000003302","9606.ENSP00000313811","USP28","USP20",9606,0.71,0,0,0,0.047,0.315,0,0.592
"9606.ENSP00000003302","9606.ENSP00000263966","USP28","USP13",9606,0.76,0,0,0,0.145,0.301,0,0.63
"9606.ENSP00000003302","9606.ENSP00000478887","USP28","MYC",9606,0.966,0,0,0,0,0.791,0.7,0.507
"9606.ENSP00000008527","9606.ENSP00000478887","CRY1","MYC",9606,0.403,0,0,0,0.058,0,0,0.392
"9606.ENSP00000008527","9606.ENSP00000478255","CRY1","ABCB1",9606,0.406,0,0,0,0.062,0.287,0,0.182
"9606.ENSP00000008527","9606.ENSP00000335074","CRY1","GHRL",9606,0.408,0,0,0,0,0,0,0.408
"9606.ENSP00000008527","9606.ENSP00000386023","CRY1","BUD31",9606,0.42,0,0,0,0.042,0,0,0.42
"9606.ENSP00000008527","9606.ENSP00000301732","CRY1","ABCA3",9606,0.435,0,0,0,0,0,0,0.435
"9606.ENSP00000008527","9606.ENSP00000408695","CRY1","PRKCA",9606,0.456,0,0,0,0.042,0,0,0.456
"9606.ENSP00000008527","9606.ENSP00000379563","CRY1","TSPO",9606,0.491,0.111,0,0,0.307,0,0,0.24
"9606.ENSP00000008527","9606.ENSP00000364589","CRY1","CUL4A",9606,0.565,0,0,0,0.06,0.303,0,0.39
"9606.ENSP00000008527","9606.ENSP00000368880","CRY1","FOXO1",9606,0.778,0,0,0,0.049,0.512,0,0.561
"9606.ENSP00000008527","9606.ENSP00000359206","CRY1","BTRC",9606,0.871,0,0,0,0.074,0.292,0.5,0.653
"9606.ENSP00000008527","9606.ENSP00000323867","CRY1","PRKAG1",9606,0.913,0,0,0,0.049,0,0.9,0.161
"9606.ENSP00000008527","9606.ENSP00000261523","CRY1","RORA",9606,0.935,0,0,0,0.074,0.095,0,0.929
"9606.ENSP00000008527","9606.ENSP00000478187","CRY1","CRY2",9606,0.999,0,0,0.053,0.049,0.986,0.9,0.553
"9606.ENSP00000040663","9606.ENSP00000355536","MRI1","MTR",9606,0.576,0,0,0,0.311,0,0,0.41
"9606.ENSP00000040663","9606.ENSP00000379038","MRI1","TYMP",9606,0.642,0.211,0,0,0,0,0.565,0
