"Gene","Degree","Betweenness","Closeness","Eigenvector"
"MYC",124,0.186097530667391,0.426086956521739,1
"BCL2",74,0.0542391598194571,0.390296886314265,0.852118152096212
"H3-3B",69,0.0462964642085644,0.371212121212121,0.455880425789451
"CDC42",69,0.0679897765717738,0.371852362883753,0.425641386846123
"LCK",64,0.0349744149171292,0.36259670366633,0.962489016633448
"CD28",56,0.0137927957904981,0.351483534398435,0.97609301400978
"ATM",51,0.0269699808434747,0.360535117056856,0.396200791884763
"IL7R",50,0.0107061914664036,0.340492735312697,0.875168172307214
"CD27",48,0.00384322506615762,0.316036352975667,0.829739831555775
"H2AZ1",48,0.0212350693361352,0.345291479820628,0.266451703173846
"FOXP3",45,0.0047151747360651,0.336875,0.824441935405457
"CCR7",45,0.00633244693752853,0.322851153039832,0.789690080527345
"CD40LG",45,0.00683765490494444,0.322947872977831,0.745424493271809
"SMAD3",44,0.025775493153367,0.365176151761518,0.446333640955507
"DLG4",44,0.0370903657499094,0.350911458333333,0.221180897414858
"LEF1",43,0.0123896511078519,0.348191214470284,0.733160480428099
"PIK3R1",43,0.0198365901286264,0.355072463768116,0.568430810288387
"ITK",42,0.0040032197567886,0.309414466130884,0.737769608518208
"PLCG1",42,0.0182900423236178,0.347517730496454,0.423912675108524
"ICOS",40,0.0020784982545991,0.316129032258064,0.775504062571447
"CD3G",40,0.00447379407351059,0.31529687042995,0.658685380051303
"TBP",40,0.0258840473338316,0.347629796839729,0.220544832973333
"FOXO1",39,0.0127517665389755,0.35873544093178,0.530540928273703
"TCF7",38,0.00752334975327765,0.340600315955766,0.663894278664735
"BTK",38,0.0180267800508015,0.350455136540962,0.598629453078293
"ANXA5",38,0.0170959782494913,0.358020591165726,0.565511262189646
"PRKCA",37,0.0192040147292158,0.351483534398435,0.284454909137621
"H2BC12",37,0.0114784436752157,0.344298946023635,0.270972599765695
"ARRB1",37,0.0233567812820655,0.347629796839729,0.225605082511383
"CTSS",36,0.0250110896730477,0.341679873217116,0.246646166760915
"RBBP4",36,0.0146990294239448,0.338143036386449,0.206575156116154
"CD5",35,0.00403913363369566,0.33323029366306,0.746321442977749
"SELL",35,0.00380143849247332,0.313919627256843,0.697487084522968
"PRKACB",34,0.0229987605294049,0.356717405691595,0.23526088408339
"BTRC",34,0.0170009860908294,0.332510795805059,0.212796387896268
"POLR1B",34,0.0225566199772704,0.324405657538369,0.0814600677837864
"HNRNPC",33,0.0168744374358173,0.345402114706825,0.143999509659563
"RAB11A",33,0.0294177391417322,0.345734445157152,0.107966186683547
"HLA-E",32,0.00689340921613217,0.309859154929577,0.440015206629605
"KMT2A",32,0.00599266459101362,0.331182795698925,0.186760696912147
"SDHC",31,0.0171924458894868,0.341355288157061,0.213162224558196
"CUL4A",31,0.0202575581200029,0.338674206723217,0.149475572314978
"TRAT1",30,0.00957916711238331,0.308176100628931,0.438514652584278
"PSMB9",30,0.00953516213945227,0.322272047832586,0.219170077262678
"SDHB",29,0.0144137627432508,0.341247230136119,0.154710009964025
"CHD3",29,0.0127396515054522,0.322657886860222,0.146761817075135
"ETS1",28,0.00680901092609739,0.338143036386449,0.485896406005886
"TXN",28,0.01294043863561,0.34418901660281,0.210827524661565
"ATG7",28,0.0220861833589355,0.345402114706825,0.182214486028616
"TARDBP",28,0.0134876427673888,0.346623794212219,0.124470717383108
"HLA-A",27,0.00611161174852931,0.327460510328068,0.409914248938971
"ANK3",27,0.0162715408355589,0.34375,0.159216777025368
"SNW1",27,0.00887093447848449,0.330979428922321,0.143822388717419
"WRN",27,0.0082087272494349,0.327659574468085,0.13462601401597
"MRNIP",27,0.0117686917191729,0.307210031347962,0.031689285487366
"WDR3",27,0.00658502915902026,0.297051529346928,0.0275713114616304
"CBX5",26,0.0107068014687201,0.330979428922321,0.159934242684453
"SLAMF6",25,0.00150099076860236,0.296724470134875,0.494625895343776
"CDK6",25,0.00736076580677132,0.345291479820628,0.25996488972778
"PSMB8",25,0.00355222908673568,0.306685633001422,0.179965283232408
"CTSD",25,0.0136707432365758,0.338355304456999,0.158580452312412
"PSMD4",25,0.0101773464746913,0.308705612829324,0.119210982914953
"U2AF1",25,0.00508133749422762,0.328258221680877,0.0990022069734234
"MAF",24,0.00761981950338417,0.32756001215436,0.36041889894751
"AXIN2",24,0.00461925243133921,0.329562824824213,0.209560665037775
"AIF1",24,0.00747799715851839,0.324015629696423,0.197856882403098
"ASH2L",24,0.00504032691772766,0.312735712213519,0.170901355857104
"PSMC1",24,0.00489866653829265,0.30625,0.126404273494688
"CPSF6",24,0.00762571809268303,0.319123741859088,0.10318088622223
"KIF3A",24,0.0113201301946692,0.319691577698695,0.0523620095794004
"POLR3A",24,0.00561836361250459,0.291666666666667,0.0270742070303171
"CD6",23,0.00194790042756984,0.295585412667946,0.49670560373001
"HLA-B",23,0.0047599264900049,0.304864253393665,0.255059355550985
"MAPK9",23,0.0168988892493767,0.345734445157152,0.225657848331514
"ANAPC1",23,0.0113546417683589,0.316872427983539,0.0736241485632228
"NDUFS2",23,0.0100849218286242,0.315204678362573,0.0479842470382868
"STAT4",22,0.00278484971805712,0.311831067399479,0.446171563248008
"NUP205",22,0.00587067337851863,0.302469135802469,0.0389065112401387
"IL21R",21,0.0012604654521137,0.293014406088611,0.461530801273093
"LGALS3",21,0.0100750891823886,0.335303265940902,0.23791926052535
"MLLT3",21,0.00935778144670291,0.329663608562691,0.158429727049804
"ITPR3",21,0.00662439912419807,0.319691577698695,0.129881653504173
"PSMD13",21,0.00410096417662906,0.309236947791165,0.115605624123563
"RFC2",21,0.0038959693631023,0.326666666666667,0.104605829201446
"G3BP1",21,0.0110631541900825,0.33729662077597,0.1028047710203
"ETFA",21,0.00653845437325033,0.288081239978621,0.0289315085047631
"TSR1",21,0.00521742522105433,0.288004274646006,0.0193348516383024
"UTP20",21,0.00203695498883171,0.278697001034126,0.0158914130105812
"URB1",21,0.00351962198061194,0.274859765425803,0.0147612825610075
"DDX31",21,0.0146204147531165,0.279202279202279,0.0121050849546297
"BACH2",20,0.00116394395531881,0.317619328226282,0.421291435807321
"S1PR1",20,0.00295812737172794,0.306511231162923,0.389257590436456
"LTBR",20,0.00278744581463232,0.322079474155961,0.274216001620204
"PSMB10",20,0.00111994434262685,0.299860917941586,0.156802543528568
"POLE",20,0.00585774458752367,0.32548309178744,0.124120543590666
"PHC1",20,0.00469664548528802,0.299944351697273,0.0908832328070978
"EPHX2",20,0.00807352709251724,0.298284449363586,0.0635520058184716
"NAPA",20,0.0068530668981039,0.30826422647984,0.0551236899534157
"DHX35",20,0.0102002329601949,0.299112097669256,0.0299430595348823
"MRPL33",20,0.00726460621111145,0.29269617159924,0.022227032099504
"NLE1",20,0.00445231847411472,0.281241847117141,0.0150019483188411
"RBM28",20,0.00161044612034427,0.278481012658228,0.0144094465242389
"CD96",19,0.000275708933263966,0.283088235294118,0.409955041854823
"IKZF3",19,0.00359937546530927,0.328458257160268,0.361990896356974
"NFATC2",19,0.00415996068806745,0.329764453961456,0.334520186018474
"LAT",19,0.000427072253159853,0.293493057446229,0.333466344786176
"CFL2",19,0.0060121307120305,0.335199004975124,0.118152676873827
"TOP2B",19,0.00343269973513498,0.314194112503643,0.112533892407213
"UFD1",19,0.0093121769411043,0.294213973799127,0.0594417080883314
"SRSF9",19,0.00310895273307779,0.301538461538462,0.040267491156916
"NUP160",19,0.0024630828070516,0.293893129770992,0.0374500073015353
"NUP155",19,0.00280719465118751,0.296806167400881,0.0343142538745163
"DLAT",19,0.00746314300683041,0.299860917941586,0.0337037972672973
"IPO5",19,0.0072810747436409,0.293732970027248,0.0261071221164374
"SLAMF1",18,0.0020105079473975,0.294938440492476,0.426409974310494
"PRKCQ",18,0.000729719402156457,0.307297605473204,0.341566719532561
"BCL11B",18,0.00261343542838739,0.319407407407407,0.308472108964631
"HLA-C",18,0.00141693542522175,0.294213973799127,0.167430312839752
"TNRC6A",18,0.00232626432843924,0.324503311258278,0.154486976936146
"UBE2S",18,0.00463525870433935,0.331182795698925,0.131538638362794
"PAXIP1",18,0.00327847409942292,0.309148264984227,0.104638014532289
"ACTA2",18,0.00868725046490246,0.314652656158786,0.0663036036724338
"LIG1",18,0.00157220308616318,0.29656121045392,0.0613353694416476
"MAD2L2",18,0.00314656847955526,0.300529690549205,0.0578026463479613
"YKT6",18,0.0118170640204616,0.311921296296296,0.0484297463767383
"TEX10",18,0.00417058911419713,0.290487739153867,0.0348782999688163
"EARS2",18,0.00913416232423711,0.281535648994516,0.0137103116777718
"COASY",18,0.0088263623328109,0.265321191238001,0.00525584297349825
"IL12RB1",17,0.00104283533969693,0.287390029325513,0.392404438559889
"LGALS9",17,0.000404374664185504,0.285034373347435,0.335593139073786
"CARD11",17,0.00190209708152973,0.323238380809595,0.321675758648939
"UBASH3A",17,0.000535833748131392,0.291115311909263,0.321147349128467
"TNFRSF14",17,0.00110484191297621,0.297379310344828,0.312896548845475
"TNRC6C",17,0.00264184383022398,0.327958624885914,0.153748578046727
"DDIT3",17,0.00531671647496904,0.324601023788016,0.136027814047464
"PSME1",17,0.000655810315164293,0.297215329473394,0.121688359935295
"BMPR1A",17,0.00552728350115623,0.309770114942529,0.0946436505811911
"INCENP",17,0.0057099410660418,0.324503311258278,0.0914520671700428
"AP1M2",17,0.00442584918677908,0.295261572172008,0.0822080066853407
"WDHD1",17,0.00237096574702024,0.307122507122507,0.0748488408098068
"SUCLG2",17,0.00524048957613404,0.30826422647984,0.0527064816217096
"TNFRSF25",16,0.00130970697431134,0.298037047276749,0.234370247456829
"AKT3",16,0.0088235660165683,0.336559475491726,0.227392429127311
"TRAF1",16,0.000700240683394732,0.297297297297297,0.21965695652014
"TNFRSF10A",16,0.00137574599976401,0.319691577698695,0.181185437542928
"NCF1",16,0.00371102179819704,0.317806603773585,0.152123761958332
"CUX1",16,0.00728563132920124,0.321791044776119,0.120533832421565
"ASXL1",16,0.00475101882822929,0.324015629696423,0.117504251084627
"CTSZ",16,0.00309180455108178,0.308705612829324,0.0851177388949614
"SAP18",16,0.00166528873535412,0.300949190396427,0.0774840460759782
"REC8",16,0.00399047827901128,0.29119394921664,0.046772240884422
"NDUFB6",16,0.00360619743253593,0.306076093128904,0.0457691400529307
"ACSS2",16,0.00698500525169355,0.282198952879581,0.018330859258702
"SNRPN",16,0.00286755217652136,0.278050038689709,0.0182241275782966
"HMGCL",16,0.00241279954086505,0.280437044745057,0.0150729086553032
"PUS7",16,0.00359095228618974,0.284959027227068,0.0134399904443835
"ATP6V1E1",16,0.00676095947225411,0.279564315352697,0.0128370071142103
"PTK2B",15,0.00534266746418933,0.318275760259817,0.167722851773677
"PTCH1",15,0.00474332659529434,0.328959414098261,0.148645735360952
"SLC4A7",15,0.00406308502564854,0.302808988764045,0.0975253234119793
"METTL3",15,0.0102945220917601,0.324113048707156,0.0834261083839404
"BUD31",15,0.00246881660107615,0.317712938402594,0.0680263673237539
