"stringId_A","stringId_B","preferredName_A","preferredName_B","ncbiTaxonId","score","nscore","fscore","pscore","ascore","escore","dscore","tscore"
"9606.ENSP00000044462","9606.ENSP00000257570","PSMA4","OASL",9606,0.401,0,0,0,0.109,0.301,0,0.116
"9606.ENSP00000044462","9606.ENSP00000382800","PSMA4","RUNX3",9606,0.408,0,0,0,0,0,0.4,0.055
"9606.ENSP00000044462","9606.ENSP00000361359","PSMA4","CD40",9606,0.418,0,0,0,0.055,0,0.4,0.056
"9606.ENSP00000044462","9606.ENSP00000496832","PSMA4","ISG15",9606,0.457,0,0,0,0.151,0.301,0,0.159
"9606.ENSP00000044462","9606.ENSP00000454264","PSMA4","NUB1",9606,0.509,0,0,0,0.06,0,0.5,0
"9606.ENSP00000044462","9606.ENSP00000290158","PSMA4","KPNB1",9606,0.556,0,0,0,0.523,0,0,0.107
"9606.ENSP00000044462","9606.ENSP00000223500","PSMA4","CHMP5",9606,0.558,0,0,0,0.422,0.248,0,0.066
"9606.ENSP00000044462","9606.ENSP00000256637","PSMA4","SORT1",9606,0.805,0,0,0,0,0.797,0,0.08
"9606.ENSP00000044462","9606.ENSP00000216802","PSMA4","PSME2",9606,0.99,0,0,0,0.354,0.976,0,0.427
"9606.ENSP00000054666","9606.ENSP00000303507","VAMP3","BCR",9606,0.4,0,0,0,0.042,0,0.4,0
"9606.ENSP00000054666","9606.ENSP00000264972","VAMP3","ZAP70",9606,0.43,0,0,0,0,0.048,0.4,0.083
"9606.ENSP00000054666","9606.ENSP00000497910","VAMP3","B2M",9606,0.535,0,0,0,0.09,0,0.5,0.06
"9606.ENSP00000054666","9606.ENSP00000300935","VAMP3","RAB8A",9606,0.806,0,0,0,0.132,0.314,0,0.7
"9606.ENSP00000161559","9606.ENSP00000342278","CEACAM1","OAS2",9606,0.408,0,0,0,0.097,0,0,0.371
"9606.ENSP00000161559","9606.ENSP00000380855","CEACAM1","PDCD1LG2",9606,0.426,0,0,0,0.055,0,0,0.417
"9606.ENSP00000161559","9606.ENSP00000315997","CEACAM1","LILRB1",9606,0.432,0,0,0.221,0,0,0,0.301
"9606.ENSP00000161559","9606.ENSP00000367851","CEACAM1","CYBB",9606,0.447,0,0,0,0.062,0.045,0,0.431
"9606.ENSP00000161559","9606.ENSP00000415743","CEACAM1","CD36",9606,0.459,0,0,0,0.057,0.1,0,0.414
"9606.ENSP00000161559","9606.ENSP00000296140","CEACAM1","CCR1",9606,0.461,0,0,0,0.081,0.045,0,0.435
"9606.ENSP00000161559","9606.ENSP00000370989","CEACAM1","CD274",9606,0.508,0,0,0,0.092,0,0,0.48
"9606.ENSP00000161559","9606.ENSP00000419085","CEACAM1","TIGIT",9606,0.547,0,0,0,0.048,0,0,0.544
"9606.ENSP00000200676","9606.ENSP00000415743","CETP","CD36",9606,0.413,0,0,0,0.065,0,0,0.398
"9606.ENSP00000200676","9606.ENSP00000363773","CETP","C1QA",9606,0.43,0,0,0,0.11,0,0,0.386
"9606.ENSP00000200676","9606.ENSP00000256637","CETP","SORT1",9606,0.507,0,0,0,0,0,0,0.507
"9606.ENSP00000200676","9606.ENSP00000317674","CETP","APOL1",9606,0.896,0,0,0,0.08,0,0.72,0.632
"9606.ENSP00000210444","9606.ENSP00000272252","NANS","GALM",9606,0.403,0,0,0,0.045,0,0,0.4
"9606.ENSP00000215794","9606.ENSP00000369373","USP18","TRIM5",9606,0.402,0,0,0,0.257,0,0,0.228
"9606.ENSP00000215794","9606.ENSP00000362550","USP18","CMTR1",9606,0.405,0,0,0,0.381,0,0,0.078
"9606.ENSP00000215794","9606.ENSP00000269499","USP18","ZCCHC2",9606,0.405,0,0,0,0.246,0,0,0.243
"9606.ENSP00000215794","9606.ENSP00000260184","USP18","DDX60L",9606,0.407,0,0,0,0.34,0.091,0,0.09
"9606.ENSP00000215794","9606.ENSP00000301887","USP18","BATF2",9606,0.415,0,0,0,0.312,0,0,0.185
"9606.ENSP00000215794","9606.ENSP00000357113","USP18","IFI16",9606,0.417,0,0,0,0.141,0,0,0.349
"9606.ENSP00000215794","9606.ENSP00000359488","USP18","GBP5",9606,0.419,0,0,0,0.173,0,0,0.326
"9606.ENSP00000215794","9606.ENSP00000296161","USP18","DTX3L",9606,0.427,0,0,0,0.274,0,0,0.242
"9606.ENSP00000215794","9606.ENSP00000216802","USP18","PSME2",9606,0.427,0,0,0,0.214,0,0,0.301
"9606.ENSP00000215794","9606.ENSP00000347444","USP18","TDRD7",9606,0.435,0,0,0,0.354,0,0,0.161
"9606.ENSP00000215794","9606.ENSP00000226299","USP18","LAP3",9606,0.439,0,0,0,0.426,0,0,0.064
"9606.ENSP00000215794","9606.ENSP00000359497","USP18","GBP2",9606,0.46,0,0,0,0.131,0,0,0.404
"9606.ENSP00000215794","9606.ENSP00000360215","USP18","ZBP1",9606,0.478,0,0,0,0.386,0,0,0.184
"9606.ENSP00000215794","9606.ENSP00000359490","USP18","GBP4",9606,0.48,0,0,0,0.223,0,0,0.359
"9606.ENSP00000215794","9606.ENSP00000464087","USP18","RNF213",9606,0.504,0,0,0,0.337,0.046,0,0.28
"9606.ENSP00000215794","9606.ENSP00000482515","USP18","SPATS2L",9606,0.51,0,0,0,0.25,0,0,0.374
"9606.ENSP00000215794","9606.ENSP00000359512","USP18","GBP3",9606,0.512,0,0,0,0.181,0,0,0.428
"9606.ENSP00000215794","9606.ENSP00000369299","USP18","TRIM22",9606,0.516,0,0,0,0.293,0,0,0.343
"9606.ENSP00000215794","9606.ENSP00000418194","USP18","PARP14",9606,0.538,0,0,0,0.298,0,0,0.369
"9606.ENSP00000215794","9606.ENSP00000496577","USP18","SOCS1",9606,0.548,0,0,0,0.083,0,0,0.527
"9606.ENSP00000215794","9606.ENSP00000345494","USP18","PLSCR1",9606,0.568,0,0,0,0.255,0,0,0.445
"9606.ENSP00000215794","9606.ENSP00000417401","USP18","HELZ2",9606,0.57,0,0,0,0.367,0.072,0,0.326
"9606.ENSP00000215794","9606.ENSP00000493536","USP18","SAMHD1",9606,0.585,0,0,0,0.082,0.292,0,0.413
"9606.ENSP00000215794","9606.ENSP00000263549","USP18","PARP12",9606,0.585,0,0,0,0.44,0,0,0.29
"9606.ENSP00000215794","9606.ENSP00000357459","USP18","ADAR",9606,0.587,0,0,0,0.371,0,0,0.37
"9606.ENSP00000215794","9606.ENSP00000359504","USP18","GBP1",9606,0.59,0,0,0,0.276,0,0,0.457
"9606.ENSP00000215794","9606.ENSP00000428572","USP18","LY6E",9606,0.602,0,0,0,0.342,0,0,0.42
"9606.ENSP00000215794","9606.ENSP00000306565","USP18","ISG20",9606,0.642,0,0,0,0.249,0,0,0.542
"9606.ENSP00000215794","9606.ENSP00000360817","USP18","ZNFX1",9606,0.647,0,0,0,0.218,0.077,0,0.549
