"Gene","Degree","Betweenness","Closeness","Eigenvector"
"STAT1",114,0.162880022560721,0.573363431151242,1
"DDX58",92,0.0313933569775764,0.49901768172888,0.969701896237081
"IFIH1",87,0.019408829631023,0.500986193293886,0.964423557731392
"IRF7",82,0.0166170514193486,0.493203883495146,0.932987057012927
"ISG15",81,0.0343511288754805,0.503968253968254,0.939848888112419
"IFIT3",79,0.0128697640479424,0.498039215686275,0.944053647328208
"OAS2",78,0.0117192412538709,0.492248062015504,0.9399559800873
"MX1",77,0.0131725148370623,0.495126705653021,0.930121963198028
"IFI35",76,0.0176728577689061,0.488461538461538,0.907930390588553
"OAS1",75,0.00745985011784879,0.492248062015504,0.930470870350993
"RSAD2",75,0.0187918668736082,0.482889733840304,0.91720112828697
"GBP1",75,0.0193689899530851,0.487523992322457,0.85432758856672
"PARP9",73,0.0205288699712549,0.486590038314176,0.881353422797245
"IFIT1",72,0.00850446528061516,0.489402697495183,0.906141937944914
"DHX58",72,0.00662961850594368,0.476547842401501,0.873199935155746
"IFI44",70,0.00855497613016725,0.482889733840304,0.883970352336615
"IFIT2",69,0.00418622081860694,0.472118959107807,0.887144357930912
"OASL",68,0.0107326016988933,0.479245283018868,0.872403911616215
"STAT2",68,0.00834983041981181,0.47037037037037,0.846827288064663
"EIF2AK2",68,0.0408074925270738,0.474766355140187,0.818367792225612
"USP18",67,0.0107474933885526,0.466911764705882,0.862699212510566
"GBP5",67,0.0412248491552297,0.471243042671614,0.737532242265747
"OAS3",66,0.0030742646758112,0.466911764705882,0.876511149236188
"UBE2L6",66,0.0108049354505684,0.469500924214418,0.816033096746894
"DDX60",65,0.00325516107784438,0.463503649635036,0.85804875222174
"IRF9",65,0.0035846844836788,0.469500924214418,0.856832120875526
"XAF1",65,0.00391310713796428,0.46605504587156,0.853773390975354
"MX2",62,0.00158904285883253,0.457657657657658,0.845227177044678
"SAMD9L",62,0.00214245294683009,0.456014362657092,0.819519806192384
"IFI16",62,0.0222494592172422,0.47037037037037,0.741149506202535
"RTP4",61,0.00183743120067787,0.460144927536232,0.825924994528457
"IFIT5",61,0.00285936639641574,0.456014362657092,0.823461745772085
"IFI44L",61,0.015278023156966,0.460144927536232,0.820135604900764
"TRIM22",59,0.00155004652126582,0.456834532374101,0.815917141983236
"EPSTI1",59,0.00269377005405739,0.45438282647585,0.793432594676861
"PARP14",59,0.00431667185677939,0.456014362657092,0.776587234266287
"BST2",59,0.0217049031589121,0.462659380692168,0.75188250824782
"HERC5",58,0.00129454449948597,0.455197132616487,0.81196099473533
"HERC6",56,0.000996803670897958,0.443280977312391,0.78312350473154
"IFI6",56,0.00242426087113035,0.447971781305115,0.779576969313305
"CMPK2",56,0.0062625940283445,0.447183098591549,0.77447249477678
"GBP4",56,0.0116886062549915,0.455197132616487,0.67990647520375
"HELZ2",54,0.0106189538716173,0.438687392055268,0.707213892265107
"ADAR",53,0.0106143748234175,0.440207972270364,0.691510562120648
"IFI27",51,0.00212796935316837,0.443280977312391,0.71701781137581
"PARP12",51,0.0029032341122159,0.437177280550775,0.696895886862413
"TLR7",51,0.020448841508833,0.451154529307282,0.483018145180495
"PLSCR1",50,0.00454818925428687,0.440972222222222,0.713984056197605
"GBP2",50,0.00149703331662855,0.449557522123894,0.686792236164668
"SP110",50,0.00546193965242152,0.442508710801394,0.673867084849522
"ISG20",49,0.00441508266642166,0.445614035087719,0.680947794877159
"CASP1",48,0.027473005252221,0.460980036297641,0.429663428187145
"SAMHD1",44,0.00177122859366043,0.436426116838488,0.591507567789532
"SP100",42,0.00435004028787947,0.428330522765599,0.562860801887726
"LY6E",41,0.00116942949820537,0.426890756302521,0.600441388982698
"BATF2",40,0.0197826851441618,0.442508710801394,0.443426098682044
"CD274",40,0.0225106056744528,0.444833625218914,0.235873560839455
"TRIM5",39,0.00353754886970855,0.432708688245315,0.501010710444704
"SIGLEC1",39,0.00768399979345485,0.430508474576271,0.451545983724698
"DDX60L",38,0.000336922249947443,0.398744113029827,0.554824469753647
"TNFSF10",38,0.0062567857539059,0.430508474576271,0.479064524069121
"B2M",38,0.0565117363568815,0.443280977312391,0.257144288045137
"DTX3L",37,0.000306393755976596,0.418451400329489,0.530483472068628
"GBP3",36,0.00163785837470428,0.425460636515913,0.522038511227978
"NLRC5",36,0.00412809409595487,0.431972789115646,0.438702865754442
"CD40",36,0.0232983638730927,0.453571428571429,0.188302808799027
"UBA7",34,0.0312631404089992,0.423333333333333,0.48858240167435
"RNF213",34,0.010637176750906,0.419834710743802,0.457445914182564
"TAP1",32,0.00280661228534885,0.427609427609428,0.398342663137733
"LAP3",31,0.0179194641527111,0.418451400329489,0.419007159318202
"SOCS1",31,0.0116960862014007,0.437931034482759,0.353091739214605
"IDO1",31,0.0127378762792344,0.434188034188034,0.23094199499865
"FCGR1A",30,0.00997127125688843,0.437177280550775,0.190455185112773
"SERPING1",28,0.0154768482312639,0.420529801324503,0.29955470543724
"AIM2",27,0.00281550886934208,0.422628951747088,0.316032669094583
"MOV10",26,0.0257127954016128,0.397496087636933,0.249780005913315
"IRF5",25,0.000893809223978742,0.413008130081301,0.322165565015143
"SPATS2L",23,0.00729273629295771,0.371888726207906,0.333128179138244
"ZBP1",23,0.000111863454581485,0.410339256865913,0.330380840774774
"TDRD7",22,0,0.375184638109306,0.348930581790181
"APOBEC3G",22,0.00239779910231205,0.421926910299003,0.286601636434464
"PSME2",22,0.00747950377290306,0.418451400329489,0.230289492707543
"ZNFX1",21,1.50975596877622e-05,0.401263823064771,0.316857323824589
"IFI30",21,0.0227315577661969,0.409017713365539,0.256314481746595
"PML",21,0.0140242053592133,0.408360128617363,0.214654316431248
"KIT",21,0.0123327478894339,0.415032679738562,0.0727351007808512
"RIPK1",20,0.00342314499194547,0.404458598726115,0.16301770554523
"CYBB",20,0.0285055083186016,0.429780033840948,0.0792293111298449
"CD36",20,0.0379704192203153,0.414355628058728,0.0699714474756662
