"stringId_A","stringId_B","preferredName_A","preferredName_B","ncbiTaxonId","score","nscore","fscore","pscore","ascore","escore","dscore","tscore"
"9606.ENSP00000169298","9606.ENSP00000281923","ST6GAL1","MGAT5",9606,0.737,0,0,0,0.061,0,0,0.731
"9606.ENSP00000175091","9606.ENSP00000230449","LAPTM4A","EXOC2",9606,0.428,0,0,0,0,0,0,0.428
"9606.ENSP00000204726","9606.ENSP00000312664","GOLGA3","CASP2",9606,0.495,0,0,0,0.063,0.052,0,0.477
"9606.ENSP00000204726","9606.ENSP00000234160","GOLGA3","GORASP2",9606,0.612,0,0,0,0.065,0,0,0.602
"9606.ENSP00000216297","9606.ENSP00000374212","SUPT16H","EP400",9606,0.402,0,0,0,0.118,0.188,0,0.232
"9606.ENSP00000216297","9606.ENSP00000262518","SUPT16H","SRCAP",9606,0.402,0,0,0,0.081,0.188,0,0.263
"9606.ENSP00000216297","9606.ENSP00000460348","SUPT16H","PRPF8",9606,0.414,0,0,0,0.199,0.208,0,0.15
"9606.ENSP00000216297","9606.ENSP00000358563","SUPT16H","DKC1",9606,0.417,0,0,0,0.137,0.209,0,0.215
"9606.ENSP00000216297","9606.ENSP00000449396","SUPT16H","SMARCC2",9606,0.423,0,0,0,0.137,0.128,0,0.294
"9606.ENSP00000216297","9606.ENSP00000302640","SUPT16H","UBTF",9606,0.431,0,0,0,0.156,0.136,0,0.282
"9606.ENSP00000216297","9606.ENSP00000378702","SUPT16H","BRD2",9606,0.436,0,0,0,0.058,0.311,0,0.201
"9606.ENSP00000216297","9606.ENSP00000405965","SUPT16H","SUMO2",9606,0.436,0,0,0,0.082,0.329,0,0.158
"9606.ENSP00000216297","9606.ENSP00000323421","SUPT16H","SMC1A",9606,0.437,0,0,0,0.325,0.094,0,0.153
"9606.ENSP00000216297","9606.ENSP00000404121","SUPT16H","ILF3",9606,0.438,0,0,0,0.338,0.187,0,0
"9606.ENSP00000216297","9606.ENSP00000371321","SUPT16H","RFC1",9606,0.458,0,0,0,0.34,0.095,0,0.166
"9606.ENSP00000216297","9606.ENSP00000359531","SUPT16H","GTF2B",9606,0.463,0,0,0,0.11,0.088,0,0.392
"9606.ENSP00000216297","9606.ENSP00000480987","SUPT16H","MCM3",9606,0.47,0,0,0,0.338,0,0,0.233
"9606.ENSP00000216297","9606.ENSP00000358140","SUPT16H","EIF3A",9606,0.471,0,0,0,0.19,0,0,0.374
"9606.ENSP00000216297","9606.ENSP00000371638","SUPT16H","SMARCA2",9606,0.488,0,0,0,0.054,0.144,0,0.418
"9606.ENSP00000216297","9606.ENSP00000380659","SUPT16H","EIF4ENIF1",9606,0.499,0,0,0,0.058,0.414,0,0.166
"9606.ENSP00000216297","9606.ENSP00000342434","SUPT16H","BAZ1B",9606,0.538,0,0,0,0.192,0.099,0,0.416
"9606.ENSP00000216297","9606.ENSP00000301764","SUPT16H","DDB1",9606,0.567,0,0,0,0.074,0.421,0,0.258
"9606.ENSP00000216297","9606.ENSP00000262519","SUPT16H","SETD1A",9606,0.609,0,0,0,0.11,0.116,0,0.542
"9606.ENSP00000216297","9606.ENSP00000365588","SUPT16H","MDC1",9606,0.612,0,0,0,0.107,0,0.5,0.202
"9606.ENSP00000216297","9606.ENSP00000318195","SUPT16H","NCL",9606,0.636,0,0,0,0.278,0,0,0.516
"9606.ENSP00000216297","9606.ENSP00000356520","SUPT16H","DHX9",9606,0.641,0,0,0,0.434,0.186,0,0.282
"9606.ENSP00000216297","9606.ENSP00000363642","SUPT16H","BMS1",9606,0.667,0,0,0,0.489,0,0,0.376
"9606.ENSP00000216297","9606.ENSP00000355759","SUPT16H","PARP1",9606,0.694,0,0,0,0.215,0.456,0,0.342
"9606.ENSP00000216297","9606.ENSP00000254480","SUPT16H","SMARCC1",9606,0.777,0,0,0,0.347,0.128,0,0.64
"9606.ENSP00000216297","9606.ENSP00000368358","SUPT16H","POLA1",9606,0.811,0,0,0,0.176,0.416,0,0.639
"9606.ENSP00000216297","9606.ENSP00000461879","SUPT16H","POLR2A",9606,0.994,0,0,0,0.142,0.945,0.5,0.806
"9606.ENSP00000218348","9606.ENSP00000301764","USP11","DDB1",9606,0.415,0,0,0,0.088,0.292,0,0.167
"9606.ENSP00000218348","9606.ENSP00000360609","USP11","HSP90AB1",9606,0.42,0,0,0,0.101,0.306,0,0.144
"9606.ENSP00000218348","9606.ENSP00000483236","USP11","DCAF7",9606,0.421,0,0,0,0.075,0,0.4,0
"9606.ENSP00000218348","9606.ENSP00000449386","USP11","SART3",9606,0.423,0,0,0,0.084,0,0,0.396
"9606.ENSP00000218348","9606.ENSP00000350267","USP11","BRPF3",9606,0.425,0,0,0,0.047,0.421,0,0
"9606.ENSP00000218348","9606.ENSP00000405965","USP11","SUMO2",9606,0.427,0,0,0,0.049,0.292,0,0.218
"9606.ENSP00000218348","9606.ENSP00000340648","USP11","HUWE1",9606,0.432,0,0,0,0.202,0,0,0.318
"9606.ENSP00000218348","9606.ENSP00000263857","USP11","POLR1A",9606,0.537,0,0,0,0.142,0.443,0,0.108
"9606.ENSP00000218348","9606.ENSP00000355759","USP11","PARP1",9606,0.62,0,0,0,0.061,0.51,0,0.242
"9606.ENSP00000218348","9606.ENSP00000426503","USP11","RNF4",9606,0.626,0,0,0,0.074,0.292,0,0.475
"9606.ENSP00000218348","9606.ENSP00000343535","USP11","USP7",9606,0.966,0,0,0,0.079,0.821,0,0.815
"9606.ENSP00000230449","9606.ENSP00000267113","EXOC2","ESYT1",9606,0.405,0,0,0,0.163,0.201,0,0.182
"9606.ENSP00000230449","9606.ENSP00000420213","EXOC2","FLNB",9606,0.571,0,0,0,0.07,0,0,0.557
"9606.ENSP00000233468","9606.ENSP00000376077","SF3B6","SUMO1",9606,0.413,0,0,0,0.395,0,0,0.07
"9606.ENSP00000233468","9606.ENSP00000404121","SF3B6","ILF3",9606,0.439,0,0,0,0.324,0.205,0,0
"9606.ENSP00000233468","9606.ENSP00000268482","SF3B6","DHX38",9606,0.566,0,0,0,0.065,0,0.4,0.29
"9606.ENSP00000233468","9606.ENSP00000261167","SF3B6","WBP11",9606,0.808,0,0,0,0.082,0.8,0,0
"9606.ENSP00000233468","9606.ENSP00000301740","SF3B6","SRRM2",9606,0.841,0,0,0,0.082,0.8,0,0.208
"9606.ENSP00000233468","9606.ENSP00000317123","SF3B6","SNRNP200",9606,0.874,0,0,0,0.169,0.8,0,0.305
"9606.ENSP00000233468","9606.ENSP00000326261","SF3B6","SRRM1",9606,0.897,0,0,0,0.127,0.8,0,0.457
"9606.ENSP00000233468","9606.ENSP00000464050","SF3B6","DDX42",9606,0.94,0,0,0,0.067,0.414,0.9,0
"9606.ENSP00000233468","9606.ENSP00000460348","SF3B6","PRPF8",9606,0.953,0,0,0,0.163,0.93,0,0.259
"9606.ENSP00000233468","9606.ENSP00000305790","SF3B6","SF3B3",9606,0.999,0,0,0,0.142,0.998,0.9,0.99
