"Gene","Degree","Betweenness","Closeness","Eigenvector"
"PARP1",35,0.0900948053961498,0.488304093567251,0.643209044997994
"SUMO2",34,0.059529456621275,0.478510028653295,0.571545289174739
"PDCD11",32,0.0188353635579215,0.427109974424552,1
"NCL",31,0.0608951383993055,0.474431818181818,0.903084603398401
"POLR1A",30,0.0273679879160006,0.431524547803618,0.904077091598703
"HSP90AB1",29,0.129756584479685,0.478510028653295,0.488957451442182
"RRP1B",28,0.027657707818226,0.431524547803618,0.857323756017436
"PRPF8",28,0.0441478763523781,0.453804347826087,0.564574403056604
"NAT10",27,0.0172011236139477,0.422784810126582,0.899509137437723
"DKC1",27,0.0335030760779618,0.442970822281167,0.878235220807644
"DHX9",27,0.021678382896783,0.441798941798942,0.762657845465911
"SUPT16H",27,0.0299583452972997,0.436031331592689,0.567349187617153
"POLR2A",27,0.0364435066230261,0.450134770889488,0.533461657118445
"HEATR1",25,0.0141621895175116,0.41031941031941,0.842643667643195
"NOLC1",24,0.00840766246112956,0.398568019093079,0.795206069374675
"EPRS1",24,0.0338807347312163,0.43717277486911,0.592454333418243
"NOL6",23,0.00553373741730048,0.398568019093079,0.821591671221846
"BMS1",22,0.00434638641459292,0.403381642512077,0.82445268107976
"EXOSC10",22,0.0114307910007685,0.415422885572139,0.786353713352238
"EP400",22,0.0293003740360082,0.429305912596401,0.387930458923723
"DNMT1",22,0.0348141799218207,0.430412371134021,0.342531067591866
"DDX24",21,0.0177091511620356,0.409313725490196,0.716554897857569
"SNRNP200",21,0.0139859273231051,0.41645885286783,0.415820263456492
"MDC1",21,0.0149856434478071,0.421717171717172,0.378845004258047
"DDB1",21,0.0365092212670333,0.434895833333333,0.343951800745858
"MYBBP1A",20,0.00525774753264843,0.40632603406326,0.724484303733783
"NOP14",20,0.0438143551866955,0.393867924528302,0.714031843497698
"GCN1",20,0.0180642079801778,0.41031941031941,0.604358012769476
"DHX38",20,0.0133216130129021,0.388372093023256,0.508180954584047
"SMC1A",20,0.0166287745449429,0.41645885286783,0.369757821566501
"SUMO1",20,0.018653292994834,0.430412371134021,0.337967596578695
"HUWE1",20,0.0447859703134848,0.440633245382586,0.337583514370042
"HTT",20,0.0514495149144151,0.442970822281167,0.276848571856343
"DDX27",18,0.00102828520613879,0.383908045977012,0.710215578515765
"EIF5B",18,0.015354948120729,0.420654911838791,0.508019276419756
"SIN3A",18,0.0196372499804096,0.423857868020305,0.283057572496711
"TRRAP",17,0.0225120614113407,0.421717171717172,0.261633915491994
"NUP133",16,0.0119064083345494,0.401442307692308,0.300503740382243
"SMARCA2",16,0.00666958167825312,0.39667458432304,0.279761749402557
"DROSHA",15,0.00633065224465129,0.400479616306954,0.469770571928336
"SF3B3",15,0.00537580494421535,0.389277389277389,0.303139780449901
"USP7",15,0.0247581332274801,0.404358353510896,0.265532007125969
"BRD2",15,0.00966944606971471,0.395734597156398,0.239392364175686
"XPO5",14,0.0100677375753659,0.386574074074074,0.362594471991735
"BAZ1B",14,0.00406541028653206,0.39018691588785,0.343945574964286
"HSPA9",14,0.0130119720757311,0.404358353510896,0.281839424402086
"SRRM2",14,0.00403221689140934,0.384792626728111,0.279452109080039
"SRRM1",14,0.00430899972948322,0.38568129330254,0.266058866443398
"NUP188",14,0.0165053431737567,0.395734597156398,0.263053845595037
"RNF4",14,0.00931465191772528,0.386574074074074,0.211330103854232
"RPTOR",14,0.0382572184917487,0.387470997679814,0.146151666413321
"KRI1",13,0.000184123981780409,0.366228070175439,0.542008408981836
"RRM1",13,0.00892772230001215,0.39667458432304,0.31221112176894
"MCM3",13,0.00594033910742233,0.40632603406326,0.24935724549857
"SETD1A",13,0.00786144914160742,0.36784140969163,0.163989480246899
"EIF3A",12,0.00691140141976793,0.39018691588785,0.378916509383447
"SART3",12,0.00400398056285642,0.375280898876404,0.377790060834155
"UBTF",12,0.00756289637358808,0.398568019093079,0.372033864899208
"GEMIN5",12,0.0244326072463548,0.375280898876404,0.330986669765011
"GEMIN4",12,0.00274092239523448,0.378684807256236,0.330784347611766
"ILF3",12,0.00509479820440983,0.389277389277389,0.307476525707022
"LARS2",12,0.00441612014337998,0.376975169300226,0.304819305359694
"IARS1",12,0.00248659627424948,0.376126126126126,0.292846763682387
"SMARCC1",12,0.000981045382860466,0.379545454545455,0.243576621641328
"RPA1",12,0.00309253805658592,0.39018691588785,0.229773664800653
"SMARCC2",12,0.00267500267670274,0.376975169300226,0.197908401687718
"HCFC1",12,0.00678606624418748,0.38568129330254,0.185856006734682
"NUMA1",12,0.00952644527867419,0.384792626728111,0.176009446305802
"PPRC1",11,0.00159830534573992,0.363834422657952,0.343346151299014
"USP11",11,0.011012580425336,0.41439205955335,0.225456305318113
"NCAPD2",11,0.00426285602152032,0.389277389277389,0.219086304036615
"INO80",11,0.0279546706607004,0.376975169300226,0.207462547322396
"SRCAP",11,0.00138783862270954,0.356837606837607,0.168181162539511
"LARS1",10,0.00297324059819079,0.369469026548673,0.257739708077466
"POLA1",10,0.0013595714524655,0.36784140969163,0.208173641514933
"SF3B6",10,0.000837730783420429,0.36304347826087,0.181220418992283
"BAG3",10,0.0202380096293775,0.400479616306954,0.13712732641308
"DYNC1H1",10,0.0142593495387248,0.381278538812785,0.117556970012504
"DDX42",9,0.0022535337449216,0.373601789709172,0.244016466153109
"AARS1",9,0.0036099961192414,0.368653421633554,0.173191957944624
"NUP210",9,0.00163288447245645,0.373601789709172,0.169162889588205
"WBP11",8,0.00036703213701463,0.354564755838641,0.191675028020275
"PHF8",8,0.00261878432809669,0.35531914893617,0.102155898583786
"KAT7",8,0.00306310440606388,0.347916666666667,0.071684075261276
"BRPF3",8,0.00420527105419159,0.342213114754098,0.0712146158324604
"UBAP2L",8,0.0181419152826868,0.347193347193347,0.0432445347392018
"FLNB",8,0.070585608881826,0.344329896907216,0.042227052337689
"ELP3",7,0.00273593158528593,0.343621399176955,0.224532668399732
"GTF2B",7,0.00120378832505614,0.370288248337029,0.213536524709522
"RFC1",7,0.000288599368745733,0.362255965292842,0.141781546977412
"VHL",7,0.0125936637972884,0.382151029748284,0.121973431941649
"FASN",7,0.0105794069284782,0.374439461883408,0.0964661259175328
"TAF3",7,0.00126069845112537,0.345755693581781,0.0862725544690315
"GATAD2B",7,0.0137926172987615,0.357601713062098,0.0832829997982868
"CKAP5",7,0.0122306004486239,0.336016096579477,0.0666836077773716
"SPTAN1",7,0.0101536735774405,0.359139784946237,0.0654616797035862
"ALDH18A1",6,0.000187277462819258,0.321153846153846,0.0975418004569549
"EZR",6,0.0136608531257307,0.339430894308943,0.0399475747469259
"ZNF609",6,0.0103035674954915,0.318702290076336,0.0287335721958573
"TCOF1",5,3.12183123450045e-05,0.333333333333333,0.200074408615053
"PIAS3",5,5.25342700534994e-05,0.35531914893617,0.11175333068962
"CAD",5,0.0008567683468786,0.334,0.110232109168615
"YLPM1",5,0.00240268258952611,0.342915811088296,0.0935530928878173
"QRICH1",5,0.00352412378956548,0.353065539112051,0.0870023019214716
"PCNT",5,0.00152998357531113,0.348643006263048,0.0596965298303201
"HYOU1",5,0.000718263144220207,0.341513292433538,0.0596339649230311
"JADE2",5,0.00305166441025165,0.326810176125245,0.0557843541123599
"DCAF7",5,0.0022419851374106,0.3300395256917,0.037592837579328
"PIK3R4",5,0.0135392103157273,0.327450980392157,0.0288175810732587
"SMG6",4,0.0114320796544739,0.334,0.121527175286538
"SCAF4",4,0.000570234714452595,0.345755693581781,0.119408320008013
"RPRD2",4,0.000468438682060973,0.342213114754098,0.0752608243363664
