"","TB-rep5","TB-rep4","TB-rep3","TB-rep2","TB-rep1","NC-rep5","NC-rep4","NC-rep3","NC-rep2","NC-rep1","LTBI-rep5","LTBI-rep4","LTBI-rep3","LTBI-rep2","LTBI-rep1"
"TB-rep5",1,0.979046300269117,0.967671833761982,0.977475667253355,0.970178108919972,0.976389194462547,0.970040330117326,0.979332467926349,0.970492960967795,0.981643861096314,0.967052386706401,0.973300276480726,0.980244673172413,0.977585643835105,0.981919033783992
"TB-rep4",0.979046300269117,1,0.982413296946671,0.98616451494155,0.978567364382549,0.984548606476466,0.980705652153227,0.984124960510661,0.981978251530444,0.983870581449797,0.976379815945123,0.984939356183665,0.978635801964843,0.97837812487358,0.987083647196101
"TB-rep3",0.967671833761982,0.982413296946671,1,0.975921307916228,0.964178959785871,0.978594041487,0.977985564237874,0.977928748260923,0.966476634916802,0.978452338154734,0.97151696499054,0.974642413242838,0.970962945221953,0.971329401483342,0.976915793836248
"TB-rep2",0.977475667253355,0.98616451494155,0.975921307916228,1,0.975209439693545,0.975255157963004,0.970034731479306,0.975491312677828,0.973876326118304,0.976191010107581,0.971223308565332,0.97803570320121,0.96966042812815,0.969216665481781,0.98011865830775
"TB-rep1",0.970178108919972,0.978567364382549,0.964178959785871,0.975209439693545,1,0.976426033267326,0.979819188349926,0.965475333599557,0.979273716727993,0.973447743123874,0.97544161916711,0.979748060485396,0.972051714755117,0.972649269932348,0.980375900997191
"NC-rep5",0.976389194462547,0.984548606476466,0.978594041487,0.975255157963004,0.976426033267326,1,0.985005668673594,0.984283893192777,0.983169533457632,0.987142521705985,0.976570922530782,0.98048803507879,0.983584057474683,0.982392786503669,0.985340218143971
"NC-rep4",0.970040330117326,0.980705652153227,0.977985564237874,0.970034731479306,0.979819188349926,0.985005668673594,1,0.975222033041308,0.98031225299888,0.983284586330752,0.9772294183698,0.984023884109045,0.978563638645823,0.977741136706791,0.984584254712861
"NC-rep3",0.979332467926349,0.984124960510661,0.977928748260923,0.975491312677828,0.965475333599557,0.984283893192777,0.975222033041308,1,0.976926772296893,0.986341731254845,0.969313495366911,0.975596191739342,0.982052100873163,0.979638309640283,0.980696149711163
"NC-rep2",0.970492960967795,0.981978251530444,0.966476634916802,0.973876326118304,0.979273716727993,0.983169533457632,0.98031225299888,0.976926772296893,1,0.98101470044647,0.973137988832891,0.980738264608147,0.979115683563584,0.978727191477726,0.983821765882256
"NC-rep1",0.981643861096314,0.983870581449797,0.978452338154734,0.976191010107581,0.973447743123874,0.987142521705985,0.983284586330752,0.986341731254845,0.98101470044647,1,0.978995956637836,0.977493918138805,0.989125669431048,0.985263348121232,0.984548981769976
"LTBI-rep5",0.967052386706401,0.976379815945123,0.97151696499054,0.971223308565332,0.97544161916711,0.976570922530782,0.9772294183698,0.969313495366911,0.973137988832891,0.978995956637836,1,0.972039449179768,0.980416291782923,0.980865604002753,0.976410242607894
"LTBI-rep4",0.973300276480726,0.984939356183665,0.974642413242838,0.97803570320121,0.979748060485396,0.98048803507879,0.984023884109045,0.975596191739342,0.980738264608147,0.977493918138805,0.972039449179768,1,0.971893404752421,0.97185730728483,0.987454629760758
"LTBI-rep3",0.980244673172413,0.978635801964843,0.970962945221953,0.96966042812815,0.972051714755117,0.983584057474683,0.978563638645823,0.982052100873163,0.979115683563584,0.989125669431048,0.980416291782923,0.971893404752421,1,0.98957037585772,0.981012507091558
"LTBI-rep2",0.977585643835105,0.97837812487358,0.971329401483342,0.969216665481781,0.972649269932348,0.982392786503669,0.977741136706791,0.979638309640283,0.978727191477726,0.985263348121232,0.980865604002753,0.97185730728483,0.98957037585772,1,0.979834067775861
"LTBI-rep1",0.981919033783992,0.987083647196101,0.976915793836248,0.98011865830775,0.980375900997191,0.985340218143971,0.984584254712861,0.980696149711163,0.983821765882256,0.984548981769976,0.976410242607894,0.987454629760758,0.981012507091558,0.979834067775861,1
