"gene","Healthy_vs_Active","Healthy_vs_Latent"
"ENSG00000057704",1,0
"ENSG00000181588",1,0
"ENSG00000165949",1,0
"ENSG00000117228",1,0
"ENSG00000241360",1,0
"ENSG00000126790",1,0
"ENSG00000260750",1,0
"ENSG00000228661",1,0
"ENSG00000239264",1,0
"ENSG00000197467",1,0
"ENSG00000242258",1,0
"ENSG00000205181",1,0
"ENSG00000067840",1,0
"ENSG00000230091",1,0
"ENSG00000162772",1,0
"ENSG00000225492",1,0
"ENSG00000137831",1,0
"ENSG00000227039",1,0
"ENSG00000249456",1,0
"ENSG00000102595",1,0
"ENSG00000156869",1,0
"ENSG00000139438",1,0
"ENSG00000158286",1,0
"ENSG00000179841",1,0
"ENSG00000067141",1,0
"ENSG00000272746",1,0
"ENSG00000241860",1,0
"ENSG00000117595",1,0
"ENSG00000177283",1,0
"ENSG00000156113",1,0
"ENSG00000248318",1,0
"ENSG00000169994",1,0
"ENSG00000156453",1,0
"ENSG00000260766",1,0
"ENSG00000269981",1,0
"ENSG00000154269",1,0
"ENSG00000125740",1,0
"ENSG00000273824",1,0
"ENSG00000163568",1,0
"ENSG00000162512",1,0
"ENSG00000228623",1,0
"ENSG00000250722",1,0
"ENSG00000213468",1,0
"ENSG00000183762",1,0
"ENSG00000116285",1,0
"ENSG00000267519",1,0
"ENSG00000256817",0,1
"ENSG00000152969",0,1
