ID_REF	Probe Name	miRNA_ID	Accession	Class Name	HC1	HC2	HC3	HC4	LTB1	LTB2	LTB3	LTB4	LTB5	LTB6	DS-TB1	DS-TB2	DS-TB3	DS-TB4	DS-TB5	DS-TB6	DR-TB1	DR-TB2	DR-TB3	DR-TB4		
hsa-let-7a-5p	hsa-let-7a-5p	hsa-let-7a-5p	MIMAT0000062	Endogenous1	6098.86	15706.44	6108.78	7114.63	8424.17	6981.83	6506.65	13368.79	11652.66	11944.49	8325.14	5510.27	8384.7	6071.4	8206.7	10212.78	7353.52	7617.1	7985.97	6475.32		
hsa-let-7b-5p	hsa-let-7b-5p	hsa-let-7b-5p	MIMAT0000063	Endogenous1	948.09	2440.09	953.95	1314.72	1194.66	1057.52	956.11	1929.74	1663.41	1856.88	1516.57	1251.41	1479.2	918.81	1479.98	1717.24	1296.97	1253.47	1621.61	1453.25		
hsa-let-7c-5p	hsa-let-7c-5p	hsa-let-7c-5p	MIMAT0000064	Endogenous1	77.78	111.19	66.59	65.34	73.04	57.13	49.07	134.38	86.74	93.55	62.87	58.32	74.64	80.24	92.18	111.85	62.74	73.31	74.11	83.47		
hsa-let-7d-5p	hsa-let-7d-5p	hsa-let-7d-5p	MIMAT0000065	Endogenous1	445.21	820.52	667.33	761.91	702.19	660.42	590.59	867.46	559.96	635.02	787.51	537.59	1058.51	357.14	572.54	799.04	827.65	826.54	1058.18	593.89		
hsa-let-7e-5p	hsa-let-7e-5p	hsa-let-7e-5p	MIMAT0000066	Endogenous1	18.77	19.17	23.16	32.67	29.21	19.51	13.54	26.31	21.96	18.9	20.96	36.77	25.2	45.63	21.14	22.66	14.48	33.06	17.44	24.63		
hsa-let-7f-5p	hsa-let-7f-5p	hsa-let-7f-5p	MIMAT0000067	Endogenous1	213.22	489.24	282.28	294.05	411.09	328.82	319.83	754.4	318.41	395.94	356.26	327.12	487.57	218.69	347.58	453.25	393.31	378.05	476.24	210.74		
hsa-let-7g-5p	hsa-let-7g-5p	hsa-let-7g-5p	MIMAT0000414	Endogenous1	2820.12	5229.86	2030.95	1892.35	2776.41	1971.52	1847.92	6047.31	3264.24	4065.28	2168.42	1337.63	2156.76	1803.01	3667.81	4374.61	1880.91	1975.07	2047.71	2089.56		
hsa-let-7i-5p	hsa-let-7i-5p	hsa-let-7i-5p	MIMAT0000415	Endogenous1	788.51	1858.82	616.67	680.88	839.91	594.94	624.44	1898.45	1610.71	1547.87	783.1	685.93	1120.54	783.51	1221.19	1916.08	1143.75	1079.53	1634.68	1033.15		
hsa-miR-1-3p	hsa-miR-1-3p	hsa-miR-1-3p	MIMAT0000416	Endogenous1	24.14	13.04	28.95	15.68	24	20.9	11.85	11.38	27.45	21.73	8.82	20.29	11.63	25.17	10.15	5.12	15.68	17.25	10.9	15.05		
hsa-miR-1-5p	hsa-miR-1-5p	hsa-miR-1-5p	MIMAT0031892	Endogenous1	30.84	17.64	41.98	36.59	39.65	51.55	32.15	14.22	43.92	29.29	25.37	45.64	19.39	55.07	31.29	19.01	37.4	43.12	20.71	28.74		
