"","HC1","HC2","HC3","HC4","LTB1","LTB2","LTB3","LTB4","LTB5","LTB6","DS-TB1","DS-TB2","DS-TB3","DS-TB4","DS-TB5","DS-TB6","DR-TB1","DR-TB2","DR-TB3","DR-TB4"
"hsa-let-7a-5p",12.5745604159239,13.9391604487713,12.5769047173046,12.7967757796624,13.0404900814234,12.7695961347804,12.6679209455,13.7066891846712,13.5084955047802,13.544178413425,13.0234321015605,12.4281690919485,13.0337155030823,12.5680511114842,13.0027622845615,13.3182292690769,12.8444154703003,12.8952155104154,12.963432579424,12.6609585567459
"hsa-let-7b-5p",9.89040109092749,11.2533097711618,9.89928138717394,10.361636784684,10.2235914851936,10.0478328129856,9.90254093197266,10.9149381838208,10.70079514609,10.8594416060835,10.5675473489676,10.2904912176483,10.5315764061339,9.8451920722849,10.5323364424424,10.7467158476968,10.3420413233525,10.2928622545174,10.6641005694043,10.5060595888279
"hsa-let-7c-5p",6.29975751183932,6.80980027754532,6.07873790918186,6.0518071070133,6.21023299009585,5.86121100345716,5.64587455030903,7.08087081175972,6.45516280124451,6.5630055530624,5.99706654539873,5.89044669267991,6.24107745817504,6.34411833452143,6.54194842533373,6.81826260830447,5.99412711400313,6.2154844641928,6.2309330930394,6.40036714591488
"hsa-let-7d-5p",8.80157903591784,9.68215188795627,9.3844168251167,9.57536906307031,9.45777074396908,9.36942286013679,9.20845385567969,9.76231559181277,9.13175409098481,9.31292832233962,9.62298524137761,9.07304363334558,10.0491814890615,8.48437984939623,9.16375029639813,9.64392832272346,9.69461906364691,9.69268523753377,10.0487320704421,9.21647911680753
"hsa-let-7e-5p",4.30524096595448,4.33413917883824,4.59454854955035,5.07339181605292,4.91695427895322,4.35825558670513,3.86195536414487,4.77135740899056,4.52105073690096,4.31469652565629,4.45680614923047,5.23916887866545,4.71149490665009,5.54318652456517,4.46858331700683,4.56437816856506,3.95233356636969,5.09000652990382,4.20476675065461,4.67976157351685
"hsa-let-7f-5p",7.74294936899383,8.93734439215023,8.14608493861619,8.20481564811232,8.68681564459563,8.36553507498419,8.32566524063122,9.56109697355281,8.31926567072853,8.63277714111198,8.48083058387677,8.35807972334892,8.93242146930294,7.77932539144874,8.44534598606403,8.82734270423412,8.62318648852243,8.56624435477857,8.89857115775164,7.72615002572616
"hsa-let-7g-5p",11.4620523187964,12.3528324425563,10.9886491869496,10.8867254133953,11.4395244475249,10.9458242129133,10.8524670875004,12.5623163699885,11.6729733205639,11.9894938458121,11.083093670664,10.386541536639,11.0753186925534,10.8169916204341,11.841096477023,12.0952684404937,10.8779819192862,10.9484183382973,11.0005000663895,11.0296737346264
"hsa-let-7i-5p",9.62481372927258,10.8609472835902,9.27069245101117,9.41337406005424,9.71580759132321,9.21902327539525,9.28872767951457,10.8913660205126,10.6543764632675,10.5970003453642,9.61489384960502,9.42401928183383,10.1312653600774,9.61564802684504,10.2552528666683,10.9046948267777,10.1608168496735,10.0775234126211,10.6756748156011,10.0142297435848
"hsa-miR-1-3p",4.65191274464578,3.81147103052984,4.90448409790142,4.06004738366994,4.64385618977472,4.45285896471381,3.68369645430652,3.62993940943954,4.83035674741922,4.50652577904312,3.29572302453997,4.41210404467757,3.65878273401283,4.70984201927331,3.47897180503294,2.61353165291793,4.06004738366994,4.18982455888002,3.57288966842058,4.00450139223494
"hsa-miR-1-5p",4.99276843076892,4.22032995487956,5.42559357765306,5.23227701026829,5.34518344718767,5.71561885907482,5.05093696522523,3.92789645372882,5.48928602262588,4.92076967302065,4.72082566608984,5.54349588342577,4.34978987024187,5.80915716469159,5.01301553583926,4.32264926213102,5.26303440583379,5.46336088581666,4.44028782084042,4.89433274227769
"hsa-miR-100-5p",5.05224198118114,5.18070484019556,5.15946772926677,4.69097573834328,5.30742852519225,5.37190729759515,4.52356195605701,4.87970576628229,5.59126052462153,4.77925972037238,4.13257684267001,5.08618931310448,4.34978987024187,5.72574115650395,5.05050169744673,4.77188557851537,4.42693561964834,4.82323984413102,4.57833494868161,5.02103547951136
"hsa-miR-101-3p",5.41176518500698,4.98504496225347,4.19927972133662,4.61588707391606,5.14689956034359,5.21839371107679,4.52356195605701,4.61235249875266,5.17512534965772,4.67638025546692,4.22110372536788,4.32337006906127,4.86344293434804,5.72574115650395,5.15663931069209,4.6507645591169,4.42693561964834,4.49569516262407,3.92314918047231,4.60050764534579
"hsa-miR-103a-3p",4.99276843076892,4.71753934339116,5.37608196665007,5.23227701026829,5.26903314645524,5.46564802598228,4.97544676564096,5.19179950106508,5.6238083477264,5.09043004232162,5.04395687279021,5.61999982982136,4.27947129564447,5.6372044819023,4.85349670370232,4.77188557851537,5.06953032516231,5.31505896631662,4.28762004411207,4.75488750216347
"hsa-miR-105-5p",5.21761848535105,4.43962313755712,4.59454854955035,4.53729606709084,4.96624587322494,5.27127625917593,4.29351763041742,3.99367436175058,4.93734439215023,5.13010717865883,4.52732060787705,4.85249829878989,4.41683974191283,4.70984201927331,4.89481776330794,4.03121873061072,4.65133876610593,5.02768487693716,4.1168637576909,4.23189316164533
