"","HC1","HC2","HC3","HC4","LTB1","LTB2","LTB3","LTB4","LTB5","LTB6","DS-TB1","DS-TB2","DS-TB3","DS-TB4","DS-TB5","DS-TB6","DR-TB1","DR-TB2","DR-TB3","DR-TB4"
"HC1",1,0.921754336833641,0.894232562748766,0.899875999320837,0.897610886956142,0.906613935402119,0.896916744354271,0.901366637125487,0.936830064500325,0.936330853083102,0.891421995250257,0.88496164264777,0.88674999535646,0.931756195121064,0.93788189144275,0.919221370872864,0.885381735984279,0.889521968962632,0.862995468203475,0.923936960678786
"HC2",0.921754336833641,1,0.901818744393796,0.904181895415247,0.90140722800643,0.888214536942803,0.897626250364653,0.958237896005576,0.952687830295566,0.953763331485731,0.916776586730396,0.891070745993305,0.9235600069693,0.920198874622981,0.951000312118829,0.958752768249046,0.910715480845184,0.908167181057836,0.912914768347009,0.940052507269161
"HC3",0.894232562748766,0.901818744393796,1,0.935110812860211,0.937656789226888,0.935933280703957,0.931203608893466,0.885916806567796,0.901145784844247,0.90462721431275,0.932333812053742,0.917268368311771,0.922004340651665,0.876980892451495,0.900684295469674,0.899230809012932,0.927479158674687,0.931741292623782,0.907434057025809,0.887113376171751
"HC4",0.899875999320837,0.904181895415247,0.935110812860211,1,0.943548209007467,0.93361335272345,0.933219809571548,0.890918966157041,0.904851345866547,0.911600506655697,0.926842802850616,0.92034601239493,0.924837312299169,0.884806288896823,0.908068215079787,0.900946053162211,0.930936077580999,0.927395555547602,0.906395342906633,0.893187281886441
"LTB1",0.897610886956142,0.90140722800643,0.937656789226888,0.943548209007467,1,0.939919889006666,0.928738266920872,0.889093850015351,0.900275843397348,0.900913469297728,0.925050467063785,0.910317460595677,0.92056385399763,0.876600517191773,0.907956365740767,0.891814659883811,0.917468121983938,0.91894415396672,0.892784613826237,0.884260050031794
"LTB2",0.906613935402119,0.888214536942803,0.935933280703957,0.93361335272345,0.939919889006666,1,0.931218553050738,0.864041195076337,0.896752357010895,0.896401385216572,0.911364925544578,0.911586066281233,0.905098590629105,0.886085956165075,0.891578227361775,0.879034402883991,0.913153261912575,0.91996858972003,0.885737810756704,0.881461366836919
"LTB3",0.896916744354271,0.897626250364653,0.931203608893466,0.933219809571548,0.928738266920872,0.931218553050738,1,0.876284766830244,0.897747434356174,0.901551665869791,0.918803808874125,0.917755385450168,0.921144548292177,0.878168299907824,0.899009123151006,0.893087760727312,0.922801953206697,0.928034808289375,0.909346092336385,0.885795540976741
"LTB4",0.901366637125487,0.958237896005576,0.885916806567796,0.890918966157041,0.889093850015351,0.864041195076337,0.876284766830244,1,0.919371876067751,0.925577714346703,0.906123301538819,0.878136112341907,0.916076387547986,0.884891398901842,0.951516426877795,0.958907927095466,0.898789135510414,0.897269144360827,0.905386479712726,0.922572688014211
"LTB5",0.936830064500325,0.952687830295566,0.901145784844247,0.904851345866547,0.900275843397348,0.896752357010895,0.897747434356174,0.919371876067751,1,0.957993689723021,0.894068317402414,0.890272215972992,0.887883884975911,0.941007682411129,0.938403460606948,0.927783187005819,0.895167262310752,0.893088609299933,0.882153309286839,0.941936260832481
"LTB6",0.936330853083102,0.953763331485731,0.90462721431275,0.911600506655697,0.900913469297728,0.896401385216572,0.901551665869791,0.925577714346703,0.957993689723021,1,0.903068785835265,0.895763889012862,0.90677732767162,0.937661440627694,0.940963941937009,0.936669640273598,0.910600380809413,0.910314214396174,0.902352419501434,0.945770213415853
"DS-TB1",0.891421995250257,0.916776586730396,0.932333812053742,0.926842802850616,0.925050467063785,0.911364925544578,0.918803808874125,0.906123301538819,0.894068317402414,0.903068785835265,1,0.938554951655694,0.944532262373425,0.867352459911046,0.916212480203671,0.924784213646953,0.939740538108035,0.937162050733004,0.937051215143854,0.895825936908307
