"miRNA","logFC","P.Value","adj.P.Val","AveExpr","t"
"hsa-let-7a-5p",-0.130844811194148,0.678967763805368,0.854599803654075,12.9931576552421,-0.418769533597675
"hsa-let-7b-5p",0.100108675538735,0.749587143086084,0.887493383060379,10.4186346135685,0.322732229571887
"hsa-let-7c-5p",-0.0997977471073979,0.739688578187778,0.883639948194381,6.2865146198536,-0.335988838461995
"hsa-let-7d-5p",0.302249669092298,0.328841391425624,0.695016846512226,9.41879732988584,0.995939360478101
"hsa-let-7e-5p",-0.0951130224877579,0.764021830874908,0.894526485045526,4.59810383884375,-0.303504686197412
"hsa-let-7f-5p",0.195739419726554,0.560613906908301,0.794617935546757,8.47799239892656,0.589822474868711
"hsa-let-7g-5p",-0.458421325774529,0.248859788424205,0.670158901343609,11.3153871571204,-1.18069025760029
"hsa-let-7i-5p",0.439604324388068,0.287567901636401,0.67298949427749,10.0205073966297,1.08667538417358
"hsa-miR-1-3p",-0.400163063385377,0.303138899410887,0.688344123318227,4.0585683542552,-1.05142990561046
"hsa-miR-1-5p",0.047511720299684,0.902583444337815,0.965845989540118,5.00703048158104,0.12364964541798
"hsa-miR-100-5p",-0.308461099253601,0.332426727876022,0.695016846512226,4.9251372214781,-0.98844037234542
"hsa-miR-101-3p",-0.441422333605658,0.182959034006325,0.630695505869534,4.74760198185242,-1.36977792403181
"hsa-miR-103a-3p",-0.222892478330995,0.46642849354457,0.744419875697134,5.07839720902002,-0.739628161280602
"hsa-miR-105-5p",-0.190326419292509,0.541476355835458,0.78823617459821,4.64207848295392,-0.619079150624682
"hsa-miR-106a-5p+hsa-miR-17-5p",0.0529467224506206,0.860317500486678,0.940627026655683,8.57897528636077,0.177797750897818
"hsa-miR-106b-5p",0.0366245765503166,0.927440312915802,0.973812328561592,7.26475717474826,0.0919904063807545
"hsa-miR-107",0.247700845764531,0.417866857662752,0.735157937179889,7.8308455640925,0.823785825794051
"hsa-miR-10a-5p",-0.610309857238707,0.086350417307266,0.611921338001418,4.95440294061444,-1.78545635364315
"hsa-miR-10b-5p",-0.350313796205867,0.347454999206636,0.699026461408189,4.82416925590934,-0.957595065733527
"hsa-miR-1178-3p",-0.0433579017667194,0.912393011086079,0.966918489836243,4.65508621378563,-0.111142016238284
"hsa-miR-1180-3p",-0.616645953456729,0.0615235307196039,0.609467853313963,4.3519097488536,-1.95782896586776
"hsa-miR-1183",-0.880390624343633,0.0303865528326579,0.609467853313963,4.53966135807239,-2.2954962205975
"hsa-miR-1185-1-3p",-0.625911693677132,0.152718461977237,0.611921338001418,4.80082112853337,-1.47501015333666
"hsa-miR-1185-2-3p",-0.140171233281838,0.700867728832233,0.866265215203069,5.22200923649473,-0.388601067831809
"hsa-miR-1185-5p",-0.867735328554711,0.0216272504548862,0.609467853313963,4.53252203863562,-2.45040629438081
"hsa-miR-1193",-0.243952781246302,0.454590727280064,0.740927803941245,5.08084002459266,-0.759635588788907
"hsa-miR-1197",-0.451816355351699,0.280243637068258,0.670158901343609,5.5438433106851,-1.10372689240328
"hsa-miR-1200",-0.456685304807441,0.32366333160576,0.695016846512226,4.60207932156744,-1.00686960107124
"hsa-miR-1202",-0.159643608929619,0.579122120212364,0.802575272355305,5.1895449361384,-0.562012479767774
"hsa-miR-1203",-0.391932735013365,0.193879124015422,0.630695505869534,5.04811990173078,-1.33516044729174
"hsa-miR-1204",-0.276878416386285,0.465332323617146,0.744419875697134,3.81629893213569,-0.741468110805597
"hsa-miR-1205",-0.19348892303287,0.601287791024077,0.806792654699128,4.59329447246281,-0.529282219770232
"hsa-miR-1206",-0.180625759598889,0.651947635736261,0.835496352382554,5.94022482913502,-0.456545364809725
"hsa-miR-122-5p",3.26612778663108,0.00895240354447441,0.57305854796297,2.60673847311768,2.8350166523226
"hsa-miR-1224-3p",-0.411399769992963,0.270534850252366,0.670158901343609,4.24294837823787,-1.12683254136502
"hsa-miR-1224-5p",-1.02105968944946,0.0132287113971665,0.57305854796297,3.9073250258138,-2.66741761319518
"hsa-miR-1226-3p",-0.271063599978426,0.405468545323957,0.735157937179889,4.81459836244826,-0.846229124043642
"hsa-miR-1228-3p",-0.36615425689876,0.322433500899573,0.695016846512226,4.87153815668368,-1.00948333986589
"hsa-miR-1233-3p",-0.0017096175433613,0.996836558210923,0.997801438043373,3.88943758026832,-0.00400471451777782
"hsa-miR-1234-3p",-0.301454547421882,0.361940753625401,0.711400791608547,5.02536945337639,-0.928704566149955
"hsa-miR-1236-3p",-0.422232297266907,0.234691483213317,0.657136152997287,5.20056132244164,-1.21780233090802
"hsa-miR-124-3p",-0.157729036973833,0.656048286974266,0.837870485029215,3.98555821079847,-0.450770331885248
"hsa-miR-1244",-0.131104087307275,0.723095309556514,0.876195326706983,4.0911441076432,-0.358350603819183
"hsa-miR-1245a",-0.521248186762822,0.177415640703388,0.630695505869534,4.26392193658051,-1.38797557709949
"hsa-miR-1245b-3p",-0.048390731055254,0.902714618263518,0.965845989540118,4.12966294120207,-0.123482264717515
"hsa-miR-1245b-5p",-0.514164379915274,0.0919721067351227,0.611921338001418,5.29542611950316,-1.75249129111913
"hsa-miR-1246",0.00303359703917594,0.988987710642594,0.994023047266888,1.14324629527076,0.0139412833337171
"hsa-miR-1247-5p",-0.338186163770213,0.456130888201357,0.740927803941245,3.13016209845526,-0.757015116266008
