"","TP0003_CD8_LTBI","TP0004_CD8_LTBI","TP0005_CD8_LTBI","TP0008_CD8_LTBI","TP0015_CD8_LTBI","TU0084_CD8_HC","XT0101_CD8_HC","TU0079_CD8_HC","TU0119_CD8_HC","TP0001_CD8_LTBI","TP0007_CD8_LTBI","TU0146_CD8_HC","XT0103_CD8_HC","TP0013_CD8_LTBI","TU0005_CD8_LTBI","TU0010_CD8_LTBI","TU0013_CD8_LTBI","TU0021_CD8_LTBI","TU0022_CD8_LTBI","TU0024_CD8_LTBI","TU0033_CD8_LTBI","TU0035_CD8_LTBI","TU0046_CD8_LTBI","TU0050_CD8_HC","TU0052_CD8_HC","TU0053_CD8_HC","TU0056_CD8_HC","TU0057_CD8_HC","TU0059_CD8_HC","TU0063_CD8_LTBI","TU0070_CD8_LTBI","TU0071_CD8_HC","TU0075_CD8_LTBI","TU0085_CD8_HC","TU0094_CD8_HC","TU0110_CD8_HC","XT0082_CD8_HC","XT0106_CD8_HC","XT0123_CD8_HC","XT0134_CD8_LTBI"
"1/2-SBSRNA4",7.69217445487035,7.9403110405203,7.47030759933255,7.71842285611174,7.48149806329427,7.4736867511085,7.59484822650731,7.80801529871966,7.67815997322103,7.3918961570475,7.53108927397346,7.74057415649892,7.72180194936451,7.19547970768663,7.80206017928668,7.89026168531432,7.68205122283158,7.77478395571638,7.9179583458338,7.33427067583864,7.93141389545649,7.6274261678176,7.67457274542369,7.39314596122514,7.9378852514958,7.8433477818889,7.28188279733903,8.01440922043894,7.87050389732593,7.39112300018878,7.93454319223901,7.4844114109377,7.46958602945668,7.20661892285424,8.00070244031364,7.7478358786278,7.68476723528576,7.11424044676991,7.33655659576524,7.30608500632432
"A1BG",8.44704055422106,8.58725181865766,8.43185644453877,9.00648347510297,8.6793457845244,8.48550324732585,7.9703572356305,8.25265747911671,8.41261338610922,8.18053560463055,8.61214380411882,8.54578882421876,8.18705699528512,7.78464889456243,8.14744027238535,8.42476771603587,8.20826738739929,8.22548731519813,8.29994113757349,7.8657458796663,8.19786426181199,8.30555627893671,8.28878158778116,8.41218534689968,8.14641196442413,7.9338751205108,7.98105845475189,7.86793232040071,8.28591499721327,8.39341878420463,8.44393670784452,8.32703509230873,8.74235523420846,7.9847108483152,8.44337367886148,8.05448984877941,7.82735675432644,8.0314093424542,8.12139278841778,8.12422901255027
"A1BG-AS1",7.45892565765986,7.3189514555387,7.37120913714022,7.39493460142898,7.50828006138386,7.3598519202373,7.37394195619776,7.41192731949774,7.50303393820256,7.23158934335109,7.35527985898135,7.41277131321454,7.18911411343296,6.9255130917877,7.31099651302961,7.51728095335892,7.42997642328106,7.26085803458858,7.32721050213172,7.39698519105405,7.43604523961615,7.24648908574175,7.32651878859132,7.42124444402346,7.36842098597,7.40070644079915,7.5763390724223,7.17930121448799,7.4239839579908,7.28679550085881,7.45911369501805,7.36629054982921,7.62520049063518,7.75854452747654,7.32719018218609,7.3455955221189,7.27836918195648,7.05901102592364,7.15118301240162,7.34598242057738
"A2LD1",8.179631959832,8.28535919549164,8.10166899257272,8.70773713891186,8.18512422826722,8.44437628305377,8.48030718867562,8.09904379069912,8.25072215097237,8.61158360565115,8.50922919143218,8.2253013384587,8.37956379896349,8.03836972808782,8.70470121289974,8.32919978983601,8.22766759240877,8.152198074074,8.11114374755557,8.22732096987617,8.13515202718278,8.21397306327831,7.89272205941024,8.13265352887175,8.36620846963167,8.34557795569355,8.2867168962421,8.27875373797241,8.45221152313832,8.38073963285527,8.18923799742528,8.13528541513192,8.38355803221304,8.07595974865083,8.20826706049946,8.5727387931707,8.33899394301539,8.08825496876183,8.25792407078371,8.41646086118956
"A2M",10.4979564887776,8.89769470810803,9.46420643121882,8.56226633557616,9.73594608079208,9.35194427902259,10.0263681782837,9.99064083643434,10.0821247519623,9.40126490115983,8.66514982606664,9.64521883473385,9.63090983505663,9.07737047759817,9.0434667382795,9.39514278575089,9.63498055125465,9.47275760814814,9.05318624123086,9.22464567659314,9.65441814248836,9.55740237187654,9.44707458263491,9.48066724550734,9.07637318152996,9.40963326409824,9.03970485854365,8.49397664804383,10.037192548655,8.56829115192371,9.35491804424363,8.7368608290338,8.87398659868089,9.05796587094096,9.16348386732606,8.75000091611682,8.99626973530687,9.26926422179164,8.43203751735647,9.58389397098859
"A2MP1",8.21587521105924,7.39772309653057,7.55336560632445,7.07454662936178,7.71655134980344,7.86406138153096,8.03477718904916,7.70936710919855,7.94641037429977,7.50872498659988,7.40025201708186,7.7076514689214,7.53067433152731,7.39175984066988,7.16974835360482,7.71513755017727,7.7670045227462,7.36388345175256,7.29520342828178,7.54717056892184,7.57150559726242,7.7391989221699,7.28844739658203,7.50863897874426,7.26912419697653,7.78673555861874,6.9255130917877,7.41525079230149,7.6886083407124,7.32469570353801,7.47096686280843,7.47110214162149,7.49864465249991,7.66239026647998,7.3449289840201,7.26105128462494,7.15683993160284,7.58742025065675,7.3754870915119,7.53120670557411
"AAAS",9.9724285897257,10.0344375722662,9.81423836470421,10.0356209657635,10.0734872049591,9.69361451067237,9.78455998848024,9.55764261657071,9.65672060818498,10.3655808545244,9.96741133069343,9.71491741338911,10.292476525928,10.3316484148161,9.88163848884839,10.2897321366253,9.67017249591517,9.84965946741339,10.2240630625855,10.1720948041965,10.2736143668505,10.2184154852355,9.99440966694492,10.2649304124724,9.73805423433852,9.76286611490691,10.1967038210589,10.417322970942,9.94362958373259,10.4422352794794,9.93828141000175,10.1340293725531,10.0607379392076,9.9113426513878,10.152310339528,9.96468547097644,9.99582296797843,10.2754912208286,9.86359562800954,9.86940402904417
"AACS",8.62642162930854,8.57028184571311,8.63103394164364,8.48810389027156,8.52524012846179,8.37972527149251,8.7508778632595,8.51718406350886,8.7331609590536,9.35820452313519,8.8846765771122,9.07645698705632,8.89233569548964,9.44968379798843,7.52025908378577,9.12756806806818,9.04902380494542,9.42664226518494,9.16148112698211,9.15416622161611,8.39166809275143,9.10881594249024,9.0952072443848,9.12646769398727,8.78032001126611,8.87652883573162,9.19713132092484,8.9835903000655,8.87953142541868,8.96732431114644,8.53405734144023,9.43354538220654,8.74945653080538,9.82409028428247,8.63766113270822,8.85217678669548,8.97101133659879,8.45536700845339,9.06732779696535,8.78540726110085
"AAGAB",10.4109084089111,10.1776913052715,10.3887681702966,10.5599594296442,10.1968250937613,10.4190085001957,10.2556856122475,10.5410285248351,10.2587406256692,10.6166210213347,10.7590905683826,10.156269010582,10.5404309961163,11.1190163018909,10.6953388041578,10.726675169127,10.6821233262107,9.8645766935749,10.6904850071665,10.1776049019913,11.0413707520745,10.9430833794747,10.6012867884499,10.5906399663142,10.4539810976245,10.6437425601963,10.8519016053127,10.6617592697762,10.3875630790863,10.7817840654385,10.75462716087,10.570163394662,10.5170804907378,10.5032995929241,10.5688260169031,10.5756776447086,10.6972437116342,10.6461513076113,10.5371448823343,10.5042501771265
"AAK1",10.8438540007091,10.788772714355,10.967744320958,10.01558101522,10.9897556476662,10.587803569562,10.237936693474,11.0937423480612,10.9135909748763,10.5076360613715,10.2993710534284,10.4239313504288,10.4232958707455,9.94462710524836,10.3563614363384,10.2356202070626,10.1689053461474,10.2823648215667,10.145437460925,9.94004005662934,10.2161448739985,10.3977324087368,10.7792065960583,10.2534421830682,9.93108372617203,10.0483990181996,10.2344095267027,10.2402843854619,10.3140698680321,9.94025438930999,10.0490969005058,9.90492448542838,10.0936026517331,10.24256457193,10.2234581375735,10.3796447591447,9.9517430871929,10.1474470783904,10.1005860446341,9.97092436624328
