"","TP0003_CD8_LTBI","TP0004_CD8_LTBI","TP0005_CD8_LTBI","TP0008_CD8_LTBI","TP0015_CD8_LTBI","TU0084_CD8_HC","XT0101_CD8_HC","TU0079_CD8_HC","TU0119_CD8_HC","TP0001_CD8_LTBI","TP0007_CD8_LTBI","TU0146_CD8_HC","XT0103_CD8_HC","TP0013_CD8_LTBI","TU0005_CD8_LTBI","TU0010_CD8_LTBI","TU0013_CD8_LTBI","TU0021_CD8_LTBI","TU0022_CD8_LTBI","TU0024_CD8_LTBI","TU0033_CD8_LTBI","TU0035_CD8_LTBI","TU0046_CD8_LTBI","TU0050_CD8_HC","TU0052_CD8_HC","TU0053_CD8_HC","TU0056_CD8_HC","TU0057_CD8_HC","TU0059_CD8_HC","TU0063_CD8_LTBI","TU0070_CD8_LTBI","TU0071_CD8_HC","TU0075_CD8_LTBI","TU0085_CD8_HC","TU0094_CD8_HC","TU0110_CD8_HC","XT0082_CD8_HC","XT0106_CD8_HC","XT0123_CD8_HC","XT0134_CD8_LTBI"
"TP0003_CD8_LTBI",1,0.977156983057932,0.975183113273549,0.964187813301319,0.970032899929564,0.966375932746598,0.954880135676629,0.956992996095742,0.962359512951785,0.940446086046361,0.963191301361967,0.945496427369384,0.960088280121823,0.936472439292637,0.938316039815539,0.948881287779786,0.945026742243505,0.910048985002157,0.952538718477906,0.953757052624112,0.944783628312298,0.940856589889146,0.947748692429142,0.945776298696958,0.949257943758552,0.9523857034065,0.939661622697848,0.945900146513324,0.950222426053478,0.946825745301254,0.949858472608011,0.940425192349472,0.939168221323688,0.945534771979705,0.94977773240232,0.946838058810375,0.93300444164769,0.940794457261011,0.940366163006903,0.94633473369524
"TP0004_CD8_LTBI",0.977156983057932,1,0.976857126402041,0.969997952766896,0.972605491593014,0.971921006484705,0.958857434340661,0.955260736971554,0.963871796787706,0.938446989957005,0.965225350039016,0.953210689663886,0.96422239232148,0.931312936921832,0.938415869343682,0.951845064022299,0.947447455163457,0.921457926143104,0.952232203085499,0.954292067125782,0.947314767843707,0.937260199212303,0.950227556571692,0.946966592051673,0.947971453493279,0.953265894400592,0.94323404596992,0.946434528436449,0.954196452044091,0.952595366962338,0.95202851085517,0.941035670696794,0.942409372160123,0.947245848685063,0.949734702705489,0.95132383548457,0.932931355196961,0.942357776917052,0.94487992187718,0.951696407984971
"TP0005_CD8_LTBI",0.975183113273549,0.976857126402041,1,0.96597496670076,0.977164991074765,0.969521468012141,0.952772448118942,0.955345863863236,0.964473906978447,0.938392762599554,0.961267853209008,0.941844697685081,0.95253508434134,0.93217101546682,0.930854118678108,0.940862335653263,0.940904530526188,0.910675898292976,0.947968144463797,0.943938289643291,0.94152656256551,0.935928065366343,0.943970847711817,0.942597009006512,0.94529924963223,0.946924385163664,0.937749065759215,0.93911803513272,0.94687883314629,0.94737315557481,0.941545333914878,0.933423754930232,0.938493221107521,0.944547334515276,0.944250466061888,0.94062147213128,0.923490622889766,0.930152867650819,0.936322441600658,0.939509401245818
"TP0008_CD8_LTBI",0.964187813301319,0.969997952766896,0.96597496670076,1,0.96054884539511,0.972522875331748,0.964442753327343,0.950612107532563,0.957703000976051,0.934468779346075,0.961017665054197,0.944642686151511,0.957799102773328,0.930841538333031,0.942834102565278,0.946042624069524,0.947168432116157,0.915502290672425,0.950794935768324,0.948397523697261,0.949121526740485,0.931127024746182,0.947251555459865,0.944632162945521,0.945139374541853,0.949738644030074,0.942365917341245,0.946024242087998,0.95207695876857,0.952435262795533,0.944890406081486,0.938942724781099,0.94255393239317,0.943786993032235,0.943192069363092,0.94294857771069,0.930484317408775,0.941244583912626,0.945433978389422,0.945798992789142
"TP0015_CD8_LTBI",0.970032899929564,0.972605491593014,0.977164991074765,0.96054884539511,1,0.961350067797221,0.950871915156465,0.951890623309485,0.960908137554798,0.934280494860391,0.958618643507694,0.942340984205696,0.950286310138972,0.929494483733121,0.933449386248688,0.939991895902332,0.93765331950225,0.925792563630082,0.945792600540151,0.941427239435858,0.941186441965084,0.936291972195073,0.943981210274661,0.940056345160042,0.940845598735328,0.947435183975889,0.935803357260931,0.937435792818478,0.945805298479546,0.9468109339061,0.939146042831806,0.928778661409627,0.936376104553768,0.938592875629776,0.94089147255444,0.939058625615147,0.922231811650776,0.931155836119094,0.93723257759878,0.937592560500837
"TU0084_CD8_HC",0.966375932746598,0.971921006484705,0.969521468012141,0.972522875331748,0.961350067797221,1,0.961995034409704,0.963405332111105,0.971377694668608,0.928691702013293,0.960988263926505,0.954785345117968,0.957595513104582,0.931432948144796,0.936811956947138,0.948167735360375,0.94770902384952,0.916540935424783,0.954065355365523,0.948775634704061,0.947806326973685,0.937041551158361,0.951246976993412,0.952092865140398,0.946654642243391,0.955616503124477,0.948733368046017,0.940180066826906,0.95399163240837,0.958376959009044,0.94671885926364,0.944254285366644,0.955123469960904,0.956150524952142,0.947409983634346,0.944703007255985,0.93282214827858,0.937320768521801,0.94559325216637,0.947644234466665
"XT0101_CD8_HC",0.954880135676629,0.958857434340661,0.952772448118942,0.964442753327343,0.950871915156465,0.961995034409704,1,0.948779656687178,0.955185337960064,0.925881219611336,0.950258644220081,0.950070408239528,0.95322178531372,0.928505433987778,0.943285563631883,0.94429162903691,0.941793624553635,0.917498969800911,0.945684901622596,0.944154400898008,0.943886720104774,0.93164155653106,0.944388848488766,0.937463219094661,0.939494941434349,0.948534162345117,0.941565797175788,0.941197338535524,0.948785122681555,0.947097557264193,0.938461644671985,0.935757826147935,0.937862852546487,0.939201899157629,0.938398961513962,0.940621173099792,0.932904237315947,0.945123090926552,0.948671157297937,0.946662296835789
"TU0079_CD8_HC",0.956992996095742,0.955260736971554,0.955345863863236,0.950612107532563,0.951890623309485,0.963405332111105,0.948779656687178,1,0.981610544624931,0.900040225705007,0.939639207610083,0.952597220524737,0.941269783945493,0.933877486589838,0.9365854210566,0.94759097119191,0.940156658077183,0.930673837804308,0.949418966457695,0.942558493955811,0.940876164818952,0.946421384730628,0.945893382292559,0.944575057088838,0.940467336097314,0.955399747040613,0.945696268254318,0.930859542419284,0.949639720709924,0.948943732160396,0.936625372340651,0.936507483097281,0.949431170492414,0.946347396545095,0.936860833968359,0.93332513181578,0.933412230357756,0.93485616160257,0.945372219096872,0.944550936409628
"TU0119_CD8_HC",0.962359512951785,0.963871796787706,0.964473906978447,0.957703000976051,0.960908137554798,0.971377694668608,0.955185337960064,0.981610544624931,1,0.910354777944856,0.946764871661181,0.956141131502799,0.947654906452434,0.928514168832615,0.93285072302002,0.944304205865251,0.939236870140649,0.922055293550136,0.948713356253686,0.941319744843403,0.939922041408323,0.9406006228534,0.946294546694059,0.944483433043933,0.940249662438623,0.953467598927468,0.944401044838113,0.930850406887987,0.94988976324725,0.952035590728758,0.93846283065459,0.93599738306944,0.949766792136623,0.94800091670307,0.942506292183697,0.938475232644537,0.933621316552232,0.936777541054431,0.947105779886271,0.948946188487655
"TP0001_CD8_LTBI",0.940446086046361,0.938446989957005,0.938392762599554,0.934468779346075,0.934280494860391,0.928691702013293,0.925881219611336,0.900040225705007,0.910354777944856,1,0.968926346636852,0.927325174308078,0.9609708558785,0.937217708763143,0.93423782172477,0.941919768486633,0.948234745560759,0.878135369346178,0.947576920856109,0.949648533957441,0.950540106632733,0.934563093221429,0.941172064978101,0.938250851937197,0.949234548283765,0.942968912446896,0.938998155696725,0.950533339704405,0.940941334485886,0.939081222342051,0.947331581524954,0.945639701084153,0.926589526423634,0.940997724430621,0.950673237506383,0.951797149934806,0.932174056837774,0.936220434426086,0.937425820837792,0.938298335524092
