"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant"
"FKBP5",1942.85784197865,-0.700458232887332,0.187598450294805,7.44018871107775e-06,0.022824603241852,FALSE
"HIST1H2AG",35.0172908792091,1.63890452409591,0.420058986635156,3.29751387314325e-06,0.022824603241852,TRUE
"ITM2A",4342.48647221668,0.58625470449599,0.154047838653262,7.22417838498738e-06,0.022824603241852,FALSE
"KANSL1-AS1",265.362887659164,-0.936874162901839,0.251629687187836,7.66698127035674e-06,0.022824603241852,FALSE
"CERK",1321.75886933905,-0.423332862542827,0.118764124157856,1.42917722480002e-05,0.0289161951144341,FALSE
"GRIPAP1",615.990143628723,0.298619259296785,0.086618129776577,2.28018594352466e-05,0.0289161951144341,FALSE
"HIST1H2BC",72.4425367888671,1.56689957404694,0.452820067237772,1.78748634989611e-05,0.0289161951144341,TRUE
"HIST3H2A",91.5719431741612,0.799874867721135,0.236446028255314,2.48372609047825e-05,0.0289161951144341,FALSE
"HPGD",381.228399422636,-0.869178204828626,0.249111010658381,1.76704663126949e-05,0.0289161951144341,FALSE
"LOC100287015",84.383906921393,0.565978688967378,0.167958712813865,2.67112988124601e-05,0.0289161951144341,FALSE
"NECAB1",61.4384234919666,1.21698858665858,0.354667065994346,2.03432599733821e-05,0.0289161951144341,TRUE
"HIST1H2AC",108.495380864217,1.27366270949873,0.396284249447724,4.28180638811344e-05,0.0424897920580457,TRUE
"CIITA",160.666434738964,0.784820872120426,0.24876382786736,5.34393984418509e-05,0.0469339879823096,FALSE
"NUAK2",332.078728572671,0.772100241073655,0.245317113988982,5.5179361080982e-05,0.0469339879823096,FALSE
"HIST1H2AM",50.5537942691928,1.33005961818592,0.454553720740234,0.0001003023767702,0.0707673250732547,FALSE
"KLRB1",3982.71006974172,-0.850835606629608,0.282880394052721,0.000101028260517747,0.0707673250732547,FALSE
"PHACTR2",1446.51908478028,-0.489669613891716,0.163725255793872,9.96593941470871e-05,0.0707673250732547,FALSE
"ARHGEF12",127.26012931114,0.880374946825533,0.301622774804767,0.000110981699682969,0.0734205599902664,FALSE
"GNPDA2",458.561250018871,-0.422700128948629,0.147164430538502,0.000140793812823459,0.088240669636934,FALSE
"KLF6",6935.48471765962,0.687659343701849,0.238801469660811,0.000151172659071137,0.090008201210955,FALSE
"ALKBH6",350.052173979729,0.262400472902575,0.0942408516274431,0.000199037387487198,0.0940358101561493,FALSE
"CD47",6849.12158294588,-0.274239407856824,0.0985319858386823,0.000205318362786352,0.0940358101561493,FALSE
"HIST1H2AE",53.6083311579182,2.34163473030101,0.439526952624299,0.000182362148129892,0.0940358101561493,FALSE
"JUN",4469.91936032036,0.951477415322345,0.350484570145426,0.000196329417617714,0.0940358101561493,FALSE
"KCTD20",839.824951871265,-0.330728015060051,0.117065865072614,0.000168088400043716,0.0940358101561493,FALSE
"ZNF268",329.800889368323,-0.554627543325003,0.201243707084642,0.000188077517427403,0.0940358101561493,FALSE
"BBC3",196.190144105493,0.605030875581681,0.234884677170169,0.000314782601495004,0.108547890073867,FALSE
"HLA-DRB5",721.114643351431,0.829135341654028,0.325199450743965,0.000319044016844586,0.108547890073867,FALSE
"METTL7A",125.373114674239,0.820960433861473,0.320883815881284,0.000304829390219082,0.108547890073867,FALSE
"MYOM2",306.878202476131,2.38021934746484,0.932126301243211,0.000246525532789533,0.108547890073867,FALSE
"RAB33A",186.950066627188,0.608814536009617,0.235411543655236,0.000293947146001875,0.108547890073867,FALSE
"RHOB",175.843165211614,1.19550312804754,0.469159442467653,0.000304076283438853,0.108547890073867,FALSE
"SLC4A10",935.071533300026,-1.30224224596061,0.5035653359424,0.000286480558023531,0.108547890073867,FALSE
"WRNIP1",445.854244010453,0.365198139942021,0.140441711104485,0.00029929965985092,0.108547890073867,FALSE
"ZBTB16",386.750199264474,-1.08973620504663,0.417679967470334,0.00027381135995197,0.108547890073867,FALSE
"HIST1H1C",462.501314318143,1.12534713502728,0.455695141405833,0.000361810196743192,0.11079248209132,FALSE
"HIST2H2BE",372.200886015532,0.762797198107929,0.300625512769585,0.000335458681200649,0.11079248209132,FALSE
"HLA-DMB",563.687922485693,0.42225986192812,0.171174653891016,0.000356702592624527,0.11079248209132,FALSE
"STX4",479.013738623353,0.377412363921946,0.149539044195561,0.00036285747409821,0.11079248209132,FALSE
"CXCR3",1332.49255375158,0.34149687194785,0.140785879909773,0.000378227742695347,0.112598399000405,FALSE
"LYPLA1",1851.1504324833,-0.283776465575787,0.118783248695741,0.000391984632190694,0.113847634149434,FALSE
"SCRN1",191.24710742698,-1.10951088618376,0.472555564918984,0.00052589831145539,0.147295532873745,FALSE
"SLA",1829.10800206829,-0.432166788175657,0.178063583839379,0.00053188679153267,0.147295532873745,FALSE
"DLD",1753.9509656946,-0.250325059807994,0.104133529849005,0.000545503880176294,0.147633186480439,FALSE
