"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant"
"HIST1H2AG",33.8945031044761,1.61929186339725,0.436556544023632,7.39801888668496e-06,0.0396703769423461,TRUE
"KANSL1-AS1",267.684069430313,-0.95549041315006,0.262995229491919,9.99421656256619e-06,0.0396703769423461,FALSE
"KCTD20",830.475000243286,-0.397564728928567,0.107764697918385,8.74599597115203e-06,0.0396703769423461,FALSE
"FKBP5",1979.13259191701,-0.658959770348054,0.195194174516104,2.59613608087369e-05,0.0450796558258396,FALSE
"GRIPAP1",610.266887088358,0.296688004438719,0.0867132779193991,2.50137097156611e-05,0.0450796558258396,FALSE
"ITM2A",4245.9273317662,0.547567423458119,0.161814338276342,2.64996297263081e-05,0.0450796558258396,FALSE
"SUPV3L1",484.624302136238,-0.478977761219329,0.13544863024351,1.51821162443545e-05,0.0450796558258396,FALSE
"CERK",1341.40668112582,-0.386426315524035,0.120690616170427,5.03467455910232e-05,0.074941130812238,FALSE
"HPGD",394.00638085785,-0.779858777678145,0.248895226284193,5.82045333497849e-05,0.0770110647921376,FALSE
"HIST3H2A",86.9045677215008,0.715485550036208,0.234073036426926,7.47063041918215e-05,0.088960267031621,FALSE
"ATHL1",879.294769653264,-0.527139442953992,0.181342968664105,0.000120662066563314,0.130622171694176,FALSE
"CIITA",156.968671435345,0.755838496125951,0.264045906648422,0.000135268832626707,0.1326705647986,FALSE
"LOC100287015",81.5347951429527,0.50188758540823,0.176343635070536,0.000144836861133843,0.1326705647986,FALSE
"HIST1H2AM",48.7055321314989,1.27818118176034,0.483550801451646,0.000235429517130766,0.148411483082696,FALSE
"HLA-DRB5",725.762230678667,0.886770094556528,0.331018562800499,0.000236800317313674,0.148411483082696,FALSE
"KLF6",5986.99424978636,0.412123255337469,0.153640868042111,0.000211098544212516,0.148411483082696,FALSE
"LOC100507246",1914.71831742329,-0.324876742932529,0.11708343236068,0.000201171970677456,0.148411483082696,FALSE
"MYOM2",313.795936931384,2.47440539525174,0.948698135689584,0.000234651019812493,0.148411483082696,FALSE
"NARS2",311.436948461337,-0.456966395501555,0.166767630372802,0.000198036568353083,0.148411483082696,FALSE
"METTL7A",122.140135346312,0.81472159314468,0.309580697812572,0.000255810995137989,0.152309866505159,FALSE
"ALKBH6",347.310268644985,0.257132646848034,0.0998548305232893,0.000345736317172463,0.17134084351696,FALSE
"CXCR3",1327.11550467801,0.366652295106146,0.144003907457157,0.000374106645233538,0.17134084351696,FALSE
"KLRB1",4087.94618974136,-0.774715558181415,0.300395111498969,0.000324887479987033,0.17134084351696,FALSE
"MAP3K8",1233.55079300281,-0.519046354776443,0.206767899197194,0.000359747270242268,0.17134084351696,FALSE
"NECAB1",52.1750333525928,0.899927228397268,0.350257872070892,0.000303762667659525,0.17134084351696,FALSE
"PHACTR2",1484.66138195293,-0.411899585380956,0.164086323555568,0.000367721363604456,0.17134084351696,FALSE
"ANKRD36B",1173.24002223234,0.367360444047233,0.149330179133491,0.000465365029486421,0.178253771165057,FALSE
"ARHGEF12",120.514435038486,0.774902960685782,0.320576365116845,0.000441782978779775,0.178253771165057,FALSE
"GNPDA2",464.698813983896,-0.383772235057074,0.156651155930485,0.000432612080068669,0.178253771165057,FALSE
"HIST1H2AC",94.1568340673572,0.989223536778575,0.41585092745877,0.000479015844581948,0.178253771165057,FALSE
"MYC",505.390195528529,-0.598466072126623,0.246563427538091,0.000434312130203133,0.178253771165057,FALSE
"WRNIP1",441.493568338426,0.358396972039602,0.148216032527447,0.000477186792899645,0.178253771165057,FALSE
"MORC2-AS1",547.986318681717,-0.338361280195193,0.142080548322198,0.00052134970991387,0.188128252898617,FALSE
"DLD",1772.57702244561,-0.231831454177248,0.0957832077082896,0.000556971900999472,0.194324280946705,FALSE
"VSTM4",26.7171119931007,-0.902009621462795,0.392581263045006,0.000571158030998881,0.194324280946705,FALSE
"SLA",1845.96297610781,-0.412264811797045,0.179589140152594,0.000598599055460894,0.198003265345231,FALSE
"CD47",6971.93254070935,-0.218539788074571,0.0973655864349964,0.000768279778682978,0.217825609632307,FALSE
"RAB33A",182.263239137222,0.562483372575151,0.254948655043542,0.000758750517134144,0.217825609632307,FALSE
"SLC4A10",970.364446946936,-1.17720053575327,0.535970661596036,0.000683572555188657,0.217825609632307,FALSE
"TSPAN32",1140.68261073412,0.361084469748297,0.162474950790799,0.000743856872728746,0.217825609632307,FALSE
"ZBTB16",399.285761140317,-0.979566201434952,0.45465980910008,0.00076777825971986,0.217825609632307,FALSE
"ZNF268",337.780931163035,-0.481289644306645,0.21478023227853,0.000728454070395388,0.217825609632307,FALSE
"TRPM2",44.5395284196836,1.46656690959099,0.714759391186674,0.000915332686260003,0.253483293674049,FALSE
"ZNF426",215.409329122008,-0.550278381778831,0.271138822754133,0.00104332536462456,0.282361782771575,FALSE
"NUAK2",296.610135321068,0.516684393592935,0.254228777225784,0.00106894047312614,0.282865403421914,FALSE
"HLA-DMB",550.309461100705,0.371057938675204,0.187955842634245,0.00110030445511389,0.284835335902091,FALSE
"IRAK2",131.060419976059,-0.481574373981402,0.241167455950222,0.00113490318517572,0.287541002746224,FALSE
"PLAGL1",67.1127712079628,0.765983864450865,0.393982224815041,0.00120614343619104,0.29311747016659,FALSE
"SCRN1",200.023019927187,-0.948128774769676,0.491420093340332,0.00119805499759713,0.29311747016659,FALSE
"CCDC66",613.060225185128,0.306105901267224,0.157699700483664,0.00136440878949637,0.308389936777871,FALSE
"GOLGA2",194.02106896878,0.44996633272798,0.234430910737415,0.00133350988411008,0.308389936777871,FALSE
"LYPLA1",1874.97722419595,-0.255053128260834,0.126726192309636,0.00137257865714034,0.308389936777871,FALSE
"TMEM39A",381.693958510317,-0.39306420324837,0.206168732617683,0.00137148253366803,0.308389936777871,FALSE
"HIST2H2BE",338.290832796368,0.56410287314153,0.299854901861635,0.00140351924269123,0.309501984110503,FALSE
"HIST1H1C",415.470195392798,0.89155758136689,0.504284120130729,0.00165241311910643,0.333507380039311,FALSE
"JUN",3829.10251726888,0.648340314091205,0.338940211278896,0.00155234793845524,0.333507380039311,FALSE
"PLP2",1742.80726990557,0.272964612595506,0.146575555225439,0.00163703493819715,0.333507380039311,FALSE
"STX4",464.725825955167,0.305154130545703,0.165464493677237,0.00162247185282181,0.333507380039311,FALSE
"ZNF350",477.469308009449,-0.343123565078224,0.188473214404102,0.00163058743340428,0.333507380039311,FALSE
"C12orf32",866.084866074931,-0.224178697711486,0.121590730069776,0.00176071551403014,0.338170973243079,FALSE
"C1orf54",33.4724757752461,-0.55163284532286,0.316414213982321,0.00175474162467848,0.338170973243079,FALSE
"NUS1",830.120792116541,-0.227795560965479,0.123853544350819,0.00170896383332945,0.338170973243079,FALSE
