"gene","GSE222001_Healthy_vs_Active","GSE222001_Healthy_vs_Latent","GSE161829_TBneg_vs_LTBI","GSE161829_TBneg_vs_ATB","GSE99374_HC_vs_LTBI","GSE229020_HC_vs_LatentTB","GSE229020_HC_vs_DrugResistant"
"ENSG00000057704",1,0,0,0,0,0,0
"ENSG00000181588",1,0,0,0,0,0,0
"ENSG00000165949",1,0,0,0,0,0,0
"ENSG00000117228",1,0,0,0,0,0,0
"ENSG00000241360",1,0,0,0,0,0,0
"ENSG00000126790",1,0,0,0,0,0,0
"ENSG00000260750",1,0,0,0,0,0,0
"ENSG00000228661",1,0,0,0,0,0,0
"ENSG00000239264",1,0,0,0,0,0,0
"ENSG00000197467",1,0,0,0,0,0,0
"ENSG00000242258",1,0,0,0,0,0,0
"ENSG00000205181",1,0,0,0,0,0,0
"ENSG00000067840",1,0,0,0,0,0,0
"ENSG00000230091",1,0,0,0,0,0,0
"ENSG00000162772",1,0,0,0,0,0,0
"ENSG00000225492",1,0,0,0,0,0,0
"ENSG00000137831",1,0,0,0,0,0,0
"ENSG00000227039",1,0,0,0,0,0,0
"ENSG00000249456",1,0,0,0,0,0,0
"ENSG00000102595",1,0,0,0,0,0,0
"ENSG00000156869",1,0,0,0,0,0,0
"ENSG00000139438",1,0,0,0,0,0,0
"ENSG00000158286",1,0,0,0,0,0,0
"ENSG00000179841",1,0,0,0,0,0,0
"ENSG00000067141",1,0,0,0,0,0,0
"ENSG00000272746",1,0,0,0,0,0,0
"ENSG00000241860",1,0,0,0,0,0,0
"ENSG00000117595",1,0,0,0,0,0,0
"ENSG00000177283",1,0,0,0,0,0,0
"ENSG00000156113",1,0,0,0,0,0,0
"ENSG00000248318",1,0,0,0,0,0,0
"ENSG00000169994",1,0,0,0,0,0,0
"ENSG00000156453",1,0,0,0,0,0,0
"ENSG00000260766",1,0,0,0,0,0,0
"ENSG00000269981",1,0,0,0,0,0,0
"ENSG00000154269",1,0,0,0,0,0,0
"ENSG00000125740",1,0,0,0,0,0,0
